()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:
()<Speaker></Speaker>||<controll_shake>%%type_id=2%%duration=5%%delay=0%%range=3</controll_shake><SE1>AVG_Moto_Run</SE1><黑屏2><BIN>480</BIN><Night>:托卡列夫看著車窗外飛速掠過的法蘭克福街景，這座曾一度引發她憧憬的城市，此刻卻顯得如此陌生。+戰爭的痕跡隨處可見，街道上傷痕累累，許多建築物的牆面上都布滿彈坑，有的甚至已經倒塌。
()<Speaker></Speaker>||:原本繁忙的商業區現在空盪蕩的，只有零星的行人匆匆走過。
()<Speaker></Speaker>||:格琳娜的車駛過一座臨時搭建的軍事檢查站，幾名士兵懶洋洋地向他們揮手示意通過，從裝束和素質來看，顯然是臨時徵調的民兵部隊。
()||<黑屏1>:
NPC_TT33(2)<Speaker>托卡列夫</Speaker>||<黑屏2><BIN>730</BIN><Night>:……新蘇聯的駐軍還在這裡？
NPC_Kalina_OL(4)<Speaker>格琳娜</Speaker><Position>0,-90</Position>||<CGDelay>0.5</CGDelay>:
()<Speaker></Speaker>||<SE1>Rope</SE1>:格琳娜沒有回答，她的雙手緊握方向盤，指節泛白。
()||<黑屏1>:
()<Speaker></Speaker>||<黑屏2><BIN>159</BIN><Night><SE1>AVG_Motorcycle</SE1>:在又駛出一段距離之後，她將車子停在了一處僻靜的角落，融入到法蘭克福深邃的夜色中。
()||<黑屏1>:
NPC_Kalina_OL(0)<Speaker>格琳娜</Speaker><Position>0,-90</Position>||<BIN>730</BIN><黑屏2><Night><CGDelay>0.5</CGDelay><BGM>BGM_Empty</BGM>:
NPC_Kalina_OL(0)<Speaker>格琳娜</Speaker><Position>0,-90</Position>||<BGM>BGM_ev2412_Yaroslavna</BGM>:……她們說指揮官死了。
NPC_TT33(2)<Speaker>托卡列夫</Speaker><Shake>||:……！？
()<Speaker></Speaker>||:從離開倉庫之後，始終保持著沉默的托卡列夫聞言再壓抑不住。
