13731<-ID->()||<BIN>22</BIN><BGM>BGM_Sneak</BGM>:…………
13732<-ID->NPC-Havel(0)<Speaker>哈維爾</Speaker><通讯框>||<BIN>22</BIN>:帕斯卡，你要立刻停止現在的行為。+你知道的東西，對你來說已經太危險了，而且這沒有必要。
13733<-ID->NPC-Persica(3)<Speaker>帕斯卡</Speaker>;NPC-Havel(0)||<BIN>22</BIN>:沒有必要？你知道我這幾年是如何度過的嗎！+哈維爾，你不想幫忙可以，但別再幹涉我的行動了！
13734<-ID->NPC-Persica(3);NPC-Havel(0)<Speaker>哈維爾</Speaker>||<BIN>22</BIN>:我是為了保護你，帕斯卡。+你知道嗎？三小時前，克魯格已經被逮捕了。
13735<-ID->NPC-Persica(3)<Speaker>帕斯卡</Speaker>;NPC-Havel(0)||<BIN>22</BIN>:……
13736<-ID->NPC-Persica(3);NPC-Havel(0)<Speaker>哈維爾</Speaker>||<BIN>22</BIN>:你以為我喜歡拋掉我的海邊別墅和全自動跑車，來摻和你們這些破事嗎？+我根本不關心你或者萊柯之前搞出了個什麼科學怪人，他的死甚至還幫我帶來了不少商機！+但是現在，平衡被打破了，帕斯卡。
13737<-ID->NPC-Persica(3)<Speaker>帕斯卡</Speaker>;NPC-Havel(0)||<BIN>22</BIN>:平衡……你說什麼？
13738<-ID->NPC-Persica(3);NPC-Havel(0)<Speaker>哈維爾</Speaker>||<BIN>22</BIN>:一切都是由你們而起，你和萊柯瑞斯，兩個從90WISH叛逃的成員，卻不肯放棄自己的愚蠢研究……+萊柯就是這樣才引禍上身的，你呢，帕斯卡？+別說你要繼續玩火，我給16LAB投了那麼多錢，你總得對你的工作負點責任，對吧？
13739<-ID->NPC-Persica(3)<Speaker>帕斯卡</Speaker>;NPC-Havel(0)||<BIN>22</BIN>:……哈維爾先生。+那歐伽斯系統重啟的目的……究竟是什麼？
13740<-ID->NPC-Persica(3);NPC-Havel(0)<Speaker>哈維爾</Speaker>||<BIN>22</BIN>:為什麼問我？我看起來像是會參與什麼邪惡計劃的老頭子嗎？
13741<-ID->NPC-Persica(3)<Speaker>帕斯卡</Speaker>;NPC-Havel(0)||<BIN>22</BIN>:我知道你知道。+你曾經關閉過那套系統，在2032年。
13742<-ID->NPC-Persica(3);NPC-Havel(0)<Speaker>哈維爾</Speaker>||<BIN>22</BIN><震屏>:……！
13743<-ID->NPC-Persica(3);NPC-Havel(0)<Speaker>哈維爾</Speaker>||<BIN>22</BIN>:我不得不說一句……“天啊”！+這可是高級機密，你是從哪兒知道的！？
13744<-ID->NPC-Persica(3)<Speaker>帕斯卡</Speaker>;NPC-Havel(0)||<BIN>22</BIN>:我有我的辦法。+如你所見，哈維爾先生，我已經是個罪犯了，不介意再多冒一點險。
13745<-ID->NPC-Persica(3);NPC-Havel(0)<Speaker>哈維爾</Speaker>||<BIN>22</BIN>:是安潔，對吧？+她竟然會告訴你這麼機密的事……這對於她的身份來說太出格了。
13746<-ID->NPC-Persica(3)<Speaker>帕斯卡</Speaker>;NPC-Havel(0)||<BIN>22</BIN>:…………
13747<-ID->NPC-Persica(3);NPC-Havel(0)<Speaker>哈維爾</Speaker>||<BIN>22</BIN>:不要裝蒜了，全憑你這從不出門的個性能接觸到最高機密？+好吧，你，或者說安潔調查到哪一步了？
13748<-ID->NPC-Persica(3)<Speaker>帕斯卡</Speaker>;NPC-Havel(0)||<BIN>22</BIN>:以我的直覺，應該快接近真相了。
13749<-ID->NPC-Persica(3);NPC-Havel(0)<Speaker>哈維爾</Speaker>||<BIN>22</BIN>:……+這個頻道也不保險，我會去16LAB當面和你談。
13750<-ID->NPC-Persica(3)<Speaker>帕斯卡</Speaker>;NPC-Havel(0)||<BIN>22</BIN>:我等著你，哈維爾先生。
13751<-ID->NPC-Persica(3)<Speaker></Speaker>||<BIN>22</BIN>:……滴，安潔莉婭發來了通訊請求。
13752<-ID->()<Speaker></Speaker>||<BIN>22</BIN>:……帕斯卡結束哈維爾的通訊，接通了安潔。
13753<-ID->NPC-Ange(0)<Speaker>安潔</Speaker><通讯框>||<BIN>22</BIN>:掌握到什麼了嗎？
13754<-ID->NPC-Persica(1)<Speaker>帕斯卡</Speaker>;NPC-Ange(0)||<BIN>22</BIN>:你怎麼知道？
13755<-ID->NPC-Persica(1);NPC-Ange(0)<Speaker>安潔</Speaker>||<BIN>22</BIN>:你有半小時沒聯繫我了，我不相信你沒有任何線索。+軍方的裝甲部隊現在還留在原地，我很不安……
13756<-ID->NPC-Persica(1)<Speaker>帕斯卡</Speaker>;NPC-Ange(0)||<BIN>22</BIN>:那不是好事情嗎？
13757<-ID->NPC-Persica(1);NPC-Ange(0)<Speaker>安潔</Speaker>||<BIN>22</BIN>:可軍方從來不會主動做好事情吧，他們一定還有其他計劃。+那個葉戈爾還留在戰場裡，肯定在玩什麼把戲。
13758<-ID->NPC-Persica(3)<Speaker>帕斯卡</Speaker>;NPC-Ange(0)||<BIN>22</BIN>:別管這個了，你只要能把所有資料搞到手，任務不就成功了一半嗎？
13759<-ID->NPC-Persica(3);NPC-Ange(0))<Speaker>安潔</Speaker>||<BIN>22</BIN>:我可不是個半吊子啊，而且周圍應該沒什麼資料可以挖掘了。+畢竟……我們連軍方放在戰場上的中央伺服器都搞定了，任務有點順利過頭了呢……
13760<-ID->NPC-Persica(3)<Speaker>帕斯卡</Speaker>;NPC-Ange(0)||<BIN>22</BIN>:安潔……+軍方伺服器……是你們破解的嗎？
13761<-ID->NPC-Persica(3);NPC-Ange(0)<Speaker>安潔</Speaker>||<BIN>22</BIN>:啊？當然不是。+我們到達現場時，伺服器已經被打開了。
13762<-ID->NPC-Persica(0)<Speaker>帕斯卡</Speaker>;NPC-Ange(0)||<BIN>22</BIN>:……你沒想過為什麼嗎？
13763<-ID->NPC-Persica(0);NPC-Ange(0)<Speaker>安潔</Speaker>||<BIN>22</BIN>:我說了，當時來不及想……+估計是軍方的人撤退時忘掉了，然後被【傘】入侵並打開了吧？+雖然很難想象鐵血有能力破解軍方重要的伺服器……
13764<-ID->NPC-Persica(0)<Speaker>帕斯卡</Speaker>;NPC-Ange(0)||<BIN>22</BIN>:被【傘】入侵……？+不對，這不太可能。就算是軍方默認級別的防火牆，也比鐵血的破解能力高級多了。
13765<-ID->NPC-Persica(0);NPC-Ange(0)<Speaker>安潔</Speaker>||<BIN>22</BIN>:你的意思是……不是鐵血打開的伺服器嗎？+之前戰場上光顧著保命了，倒沒來得及想過這一點。
13766<-ID->NPC-Persica(3)<Speaker>帕斯卡</Speaker>;NPC-Ange(0)||<BIN>22</BIN>:如果不是鐵血，也不是我們，那就只能是……
13767<-ID->NPC-Persica(3);NPC-Ange(0)<Speaker>安潔</Speaker>||<BIN>22</BIN>:把思路逆轉過來嗎……+有意思，來試試看吧！+如果是軍方自己打開的伺服器，而這一切都是軍方計劃的一環……能說得通嗎？
13768<-ID->NPC-Persica(3)<Speaker>帕斯卡</Speaker>;NPC-Ange(0)||<BIN>22</BIN>:還記得他們之前的軍事行動嗎？+軍方一路推進，然後鐵血被迫全面開啟了【傘】病毒。
13769<-ID->NPC-Persica(3);NPC-Ange(0)<Speaker>安潔</Speaker>||<BIN>22</BIN>:你是說……主動讓【傘】病毒全面擴散？這對他們有什麼好處？
13770<-ID->NPC-Persica(3)<Speaker>帕斯卡</Speaker>;NPC-Ange(0)||<BIN>22</BIN>:主腦可以隨時洞察和控制【傘】覆蓋單位的情報，無論是一個人形還是一個伺服器。+然後軍方故意把中央伺服器暴露在【傘】的面前，就是為了主腦能看到伺服器裡的內容……+可是，有什麼內容是軍方想讓主腦看到的呢……+不行……線索太少了，我想不到……
13771<-ID->NPC-Persica(3);NPC-Ange(0)<Speaker>安潔</Speaker>||<BIN>22</BIN>:帕斯卡，那就先顛倒過來想。+軍方想讓主腦看到的東西只是個誘餌，而吸引主腦來“看”才是目的。+這樣考慮的話，會有什麼思路嗎？
13772<-ID->NPC-Persica(3)<Speaker>帕斯卡</Speaker>;NPC-Ange(0)||<BIN>22</BIN>:軍方吸引主腦……進入自己的伺服器？+這有什麼好處嗎……
13773<-ID->NPC-Persica(3);NPC-Ange(0)<Speaker>安潔</Speaker>||<BIN>22</BIN>:帕斯卡，結合軍方的目的去想。+軍方想拿到歐伽斯，而根據現在的情報，我們將歐伽斯和主腦視為一體，所以這應該是軍方奪取主腦的途徑……
13774<-ID->NPC-Persica(1)<Speaker>帕斯卡</Speaker>;NPC-Ange(0)||<BIN>22</BIN><震屏>:……！
13775<-ID->NPC-Persica(3)<Speaker>帕斯卡</Speaker>;NPC-Ange(0)||<BIN>22</BIN>:安潔……+假設……假設軍方也擁有【傘】病毒，或者比【傘】病毒更強的電子控制手段。
13776<-ID->NPC-Persica(3);NPC-Ange(0)<Speaker>安潔</Speaker>||<BIN>22</BIN>:更強的手段……？
13777<-ID->NPC-Persica(3)<Speaker>帕斯卡</Speaker>;NPC-Ange(0)||<BIN>22</BIN>:這也沒什麼不可能的。+要比電子戰，他們是經歷過戰火的老手。我們就先叫他們持有的版本為超級【傘】吧。
13778<-ID->NPC-Persica(3);NPC-Ange(0)<Speaker>安潔</Speaker>||<BIN>22</BIN>:讓我想一想……+軍方先迫使主腦打開【傘】，使得主腦發現軍方故意暴露給自己的中央伺服器……+然後主腦以為是自己感染成功，而進一步入侵軍方的中央伺服器以控制軍方人形。+軍方再用自己的超級【傘】去覆蓋主腦的感染區域，這樣就能……
13779<-ID->NPC-Persica(3)<Speaker>帕斯卡</Speaker>;NPC-Ange(0)||<BIN>22</BIN>:反向連線……
13780<-ID->NPC-Persica(3)<Speaker>帕斯卡</Speaker>;NPC-Ange(0)||<BIN>22</BIN><震屏>:沒錯！通過反向連線，來利用他們的超級【傘】去反入侵主腦！
13781<-ID->NPC-Persica(3);NPC-Ange(0)<Speaker>安潔</Speaker>||<BIN>22</BIN>:反入侵！？+你是說軍方……要直接……控制主腦？！+這就是軍方的計劃！只要控制鐵血的主腦！？
13782<-ID->NPC-Persica(3)<Speaker>帕斯卡</Speaker>;NPC-Ange(0)||<BIN>22</BIN>:所以他們才把M4A1丟在原地，是為了引誘主腦靠近前線，為後續反向控制主腦提升成功機率。+但是為什麼他們要特意去攻擊AR小隊，而只留她一個人形在原地？
13783<-ID->NPC-Persica(3);NPC-Ange(0)<Speaker>安潔</Speaker>||<BIN>22</BIN>:的確很奇怪，也許他們想讓M4和主腦連線以獲得什麼優勢。+所以當時我讓AK12緊急切斷了M4A1的通訊連線，不管他們是什麼計劃，至少不能讓他們如願。
13784<-ID->NPC-Persica(3)<Speaker>帕斯卡</Speaker>;NPC-Ange(0)||<BIN>22</BIN>:而那之後，他們就假裝潰敗，然後利用自己的中央伺服器，引誘主腦進入然後加以控制。
13785<-ID->NPC-Persica(3);NPC-Ange(0)<Speaker>安潔</Speaker>||<BIN>22</BIN>:你的意思是說……軍方可能現在就在執行反控制行動了？+該死！我應該早點想到的！+結果軍方的坦克只是個幌子而已嗎！
13786<-ID->NPC-Persica(3)<Speaker>帕斯卡</Speaker>;NPC-Ange(0)||<BIN>22</BIN>:別慌……入侵主腦這種級別的心智需要發動大型電子戰，可能還要準備一陣。+他們從來不會只做一手準備，重裝部隊是他們的後備手段。+安潔，你可以在二級平層給他們製造破壞嗎？
13787<-ID->NPC-Persica(3);NPC-Ange(0)<Speaker>安潔</Speaker>||<BIN>22</BIN>:用兩三個人形去搞定這件事？你在說什麼夢話？
13788<-ID->NPC-Persica(3)<Speaker>帕斯卡</Speaker>;NPC-Ange(0)||<BIN>22</BIN>:我明白……光靠幾個人形的運算能力根本就不夠……+但是至少可以截獲軍方病毒的樣本，但是要解析的時間也不夠……
13789<-ID->NPC-Persica(3);NPC-Ange(0)<Speaker>安潔</Speaker>||<BIN>22</BIN>:好了好了，你先想辦法，我會先搜集情報給你。+我還有一個問題，如果歐伽斯那麼重要，為什麼軍方把它們丟在原地跟格里芬鬧騰了那麼久，現在才想到回收呢？
13790<-ID->NPC-Persica(0)<Speaker>帕斯卡</Speaker>;NPC-Ange(0)||<BIN>22</BIN>:……+現在……？
13791<-ID->NPC-Persica(0);NPC-Ange(0)<Speaker>安潔</Speaker>||<BIN>22</BIN>:對啊，把工作委託給格里芬一年多，到現在才想要找到那東西……
13792<-ID->NPC-Persica(0)<Speaker>帕斯卡</Speaker>;NPC-Ange(0)||<BIN>22</BIN>:因為……也許歐伽斯太危險了。+你在中央伺服器裡找到的檔案裡也提過吧，那可是和遺跡有關……
13793<-ID->NPC-Persica(0);NPC-Ange(0)<Speaker>安潔</Speaker>||<BIN>22</BIN>:所以，為什麼是現在呢？
13794<-ID->NPC-Persica(0)<Speaker>帕斯卡</Speaker>;NPC-Ange(0)||<BIN>22</BIN>:萊柯的AI有非常強大的自我學習的能力……他的作品，雖然不知道和歐伽斯有什麼聯繫。+但也許現在已經成熟了，而軍方裡有人知道“她”成熟的時間……
13795<-ID->NPC-Persica(1)<Speaker>帕斯卡</Speaker>;NPC-Ange(0)||<BIN>22</BIN>:啊！
13796<-ID->NPC-Persica(1);NPC-Ange(0)<Speaker>安潔</Speaker>||<BIN>22</BIN>:你有頭緒了？
13797<-ID->NPC-Persica(3)<Speaker>帕斯卡</Speaker>;NPC-Ange(0)||<BIN>22</BIN>:對萊柯的手法如此了解的人，除了我之外，也就只有一個人了……+而且他對萊柯恨之入骨，而且對遺跡一直抱有異常的興趣……
13798<-ID->NPC-Persica(3);NPC-Ange(0)<Speaker>安潔</Speaker>||<BIN>22</BIN>:難道帕斯卡，你認識……
13799<-ID->NPC-Persica(3)<Speaker>帕斯卡</Speaker>;NPC-Ange(0)||<BIN>22</BIN>:90WISH……曾經有一個這樣的傢伙……+如果能夠做什麼傷害到萊柯的事……+那麼他，就一定會參與其中！
13800<-ID->NPC-Persica(3)<Speaker></Speaker>||<BIN>22</BIN>:……
13801<-ID->NPC-Persica(3)<Speaker>帕斯卡</Speaker>||<BIN>22</BIN><黑屏1>:威廉……+我早該想起是你的……+我還以為……我們永遠不會再有交集了！
