()||<BGM>BGM_Empty</BGM><BIN>55</BIN>:…………一小時後，M16前往訊號發射源。
M16(3)<Speaker>M16A1</Speaker>||:那個訊號發射源，就在這個地方了。+這裡是一座工廠，當然，已經荒廢掉了。
NPC-Persica(0)<Speaker>帕斯卡</Speaker><通讯框>||:進去吧，M16。+找到那個訊號，確認一下。
M16(0)<Speaker>M16A1</Speaker>;NPC-Persica(0)||:你確定要我一個人進去？+我簡單掃了一眼，工廠內部的結構錯綜複雜，我不確定花多久才能找到呢。
M16(0);NPC-Persica(0)<Speaker>帕斯卡</Speaker>||<黑屏1>:別忘了M16，你現在可以進入鐵血的網路了。+掃描下地貌特徵，看能否和雲圖資料匹配。
()||<黑屏2><BIN>9</BIN><BGM>BGM_Room</BGM>:…………M16走向工廠的入口，開始掃描和匹配。
M16(3)<Speaker>M16A1</Speaker>||:誒？這個記錄是……+我的雲圖裡，好像有這座工廠的部分地圖？+這份地圖……到底什麼時候存進來的……
NPC-Persica(3)<Speaker>帕斯卡</Speaker><通讯框>||:果然…………+M16，你曾經來過這裡，你的雲圖中，有地圖的下載許可權。+你和工廠的網路連接後，就開始重新下載了。
M16(2)<Speaker>M16A1</Speaker>;NPC-Persica(3)||:我………曾來過這個地方？+可是我……沒有任何印象……
M16(2);NPC-Persica(0)<Speaker>帕斯卡</Speaker>||:心智雲圖是可以修改的。你心智雲圖中的記錄，有好幾段被整個抹去了。+你應該還記得……你的雲圖，是無法被複製的吧？
M16(2)<Speaker>M16A1</Speaker>;NPC-Persica(0)||:的確是這樣，沒錯……
M16(2);NPC-Persica(3)<Speaker>帕斯卡</Speaker>||:那就意味著，你的全部記憶，都是唯一的，沒有備份。+如果你的記憶被抹去……那這段記憶，就真的不復存在了……
NPC-Persica(1)<Speaker>帕斯卡</Speaker>||<BGM>BGM_Empty</BGM>:…………！
M16(3)<Speaker>M16A1</Speaker>;NPC-Persica(1)||:怎麼，你這個說法，不是理所當然的邏輯嗎？
M16(3);NPC-Persica(3)<Speaker>帕斯卡</Speaker>||<BGM>BGM_Brain</BGM>:原來是這樣嗎……原來是……利用了這一點嗎……可惡！+看來那次行動，還真是一場豪賭……+從目前看，我還算是蠻走運的呢。
()||:…………M16長長地歎了口氣。
M16(3)<Speaker>M16A1</Speaker>;NPC-Persica(3)||:帕斯卡……你究竟在說什麼？
M16(3);NPC-Persica(3)<Speaker>帕斯卡</Speaker>||<黑屏1>:M16A1，你知道……蝴蝶事件嗎？
M16A1()<Speaker>M16A1</Speaker>||<黑屏2><BIN>16</BIN>:嗯，萊柯發生意外的那個事件？
帕斯卡()<Speaker>帕斯卡</Speaker>||:沒錯……一夜之間，鐵血工廠發生暴動，原因不明，事態神秘。+萊柯也死於這次意外，從此，鐵血成為了人類的死敵。
M16A1()<Speaker>M16A1</Speaker>||:那麼這座工廠……就是一切麻煩的開始？
帕斯卡()<Speaker>帕斯卡</Speaker>||<黑屏1>:目前的情況看……只能這麼想了。
M16(3)<Speaker>M16A1</Speaker>||<黑屏2><BIN>9</BIN>:不過，知道這種事也沒什麼用吧。工廠的許可權我已經接管了，連大門都打開了。+我現在正在往工廠內部移動，這裡都是彈孔、血跡和破爛的零件。+但是沒什麼重要的東西，一定是被清理過了。
M16(3);NPC-Persica(3)<Speaker>帕斯卡</Speaker><通讯框>||:所以，我們需要調查那個訊號。+M16，深入調查，別管多餘的事了，你的時間不多了。
M16(3)<Speaker>M16A1</Speaker>;NPC-Persica(3)||:哈，我不在乎這裡發生了什麼，或者我的雲圖被動了什麼手腳。+不過我得再次提醒你，我寧可向同伴和指揮官隱瞞，要接受這個命令，你知道是為什麼……
NPC-Persica(2)<Speaker>帕斯卡</Speaker>||<黑屏1>:這份唯一的，絕對的，優先順序最高的命令。+放心吧，M16，在這點上，我和你想的一樣。
