()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:
()||<黑屏2><BIN>587</BIN><BGM>BGM_Saga_AVG_Day</BGM>:自從來到佐賀，就一直步履匆匆，被競演、拉票壓得喘不過氣。+難得有段閒適的時光，你任由後腦勺陷進柔軟的沙發。
()<Speaker>指揮官</Speaker>||:要是再來一杯格琳泡的茶就好了，也不知道基地的大家都在做什麼……
()||<SE1>AVG_footsteps_cave</SE1>:身心剛放鬆下來，就聽見一陣噠噠噠的腳步聲。
()||<SE1>Stop_AVG_loop</SE1><SE2>ClothingUp</SE2>:莉莉從沙發背後探出頭來，在你眼前晃了晃一張白色卡片。
NPC-Lily(0)<Speaker>星川莉莉</Speaker><Position>70,-170</Position><Scale>1.21</Scale>||:指揮官，有人讓莉莉交給你這個。
NPC-Lily(0)<Speaker>指揮官</Speaker><Position>70,-170</Position><Scale>1.21</Scale><同时置暗>||:嗯？
()||<SE1>ClothingUp</SE1>:你捏住卡片，上面只印了一行字——「我知道你的身份，此處見。」+底下畫著一個坐標，估計是洋房附近的某片樹林。
()<Speaker>指揮官</Speaker>||:這是誰給你的？+<color=#A9A9A9>難道是灰樹或者夜間咖啡館？她們終於想起我了嗎……</color>
NPC-Lily(9)<Speaker>星川莉莉</Speaker><Position>70,-170</Position><Scale>1.21</Scale>||:那個人戴著面罩，莉莉認不出來。
NPC-Lily(9)<Speaker>指揮官</Speaker><Position>70,-170</Position><Scale>1.21</Scale><同时置暗>||:<color=#A9A9A9>面罩……會是忍者嗎？算了，見到就知道是誰了。</color>+謝謝你，莉莉，我出去一趟！
NPC-Lily(1)<Speaker>星川莉莉</Speaker><Position>70,-170</Position><Scale>1.21</Scale>||:嗯……
()||<黑点1><BGM>BGM_Empty</BGM>:
()||<黑点2><BIN>580</BIN>:謹慎起見，抵達指定地點後，你並未急著現身，而是躲在暗處悄悄觀察。
()||<SE1>AVG_wind_grass</SE1>:附近空無一人，只有幾聲蟲啼，但也許這個神秘人下一秒就會出現……
()<Speaker>？？？？</Speaker>||<SE1>Stop_AVG_loop</SE1>:指……
