()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:……
()<Speaker>指揮官</Speaker>||<黑屏2><BIN>221</BIN><BGM>BGM_Sneak</BGM>:格琳娜，現在情況如何？
NPC-Kalin(9)<Speaker>格琳娜</Speaker>||：那些機甲突破後正在往……深井電梯那邊前進，似乎他們想進入基地的深層。
()<Speaker>指揮官</Speaker>||:海星的所在地嗎……+讓安潔想辦法吧，我們現在已經分不出更多人手了。+入口處情況呢？
NPC-Kalin(9)<Speaker>格琳娜</Speaker>||：軍方的後續裝甲部隊正在試圖越過爆炸形成的路障，應該阻擋不了太久了。+要發起反擊嗎？
()<Speaker>指揮官</Speaker>||:這是我們手裡最後幾支梯隊了，不能再損失更多了。+該死，只能往基地內退守了嗎？
NPC-Jason(1)<Speaker>K</Speaker>||:不能退守，他們如果暴露在外面我應該還能有辦法。
()<Speaker>指揮官</Speaker>||:我正在聽著。
NPC-Jason(1)<Speaker>K</Speaker>||:還有通訊設備嗎？
()<Speaker>指揮官</Speaker>||:遠程通訊已經全被毀了。
NPC-Jason(1)<Speaker>K</Speaker>||:有短途的就可以，你應該也知道在基地外面不遠處就有信號旗的部隊。
()<Speaker>指揮官</Speaker>||:我是知道，但他們會提供幫助嗎？
NPC-Jason(1)<Speaker>K</Speaker>||:那就得看怎麼談了。+通訊設備給我，調整到甚高頻73.975，跳頻111次每秒。加密碼12號。
()<Speaker>指揮官</Speaker>||:給他吧。
NPC-Kalin(9)<Speaker>格琳娜</Speaker>||：好了，已經調整好了。+……他們真的會回應嗎？
NPC-Jason(1)<Speaker>K</Speaker>||:先希望能接通吧。+這裡是鈷5，收到請回答。
()<Speaker></Speaker>||<SE1>AVG_whitenoise</SE1>:……+通訊無線電傳來的只有白噪音。
NPC-Jason(1)<Speaker>K</Speaker>||:重複一遍，這裡是特別偵查鈷5小組，收到請回答。
()<Speaker></Speaker>||:……
NPC-Kalin(9)<Speaker>格琳娜</Speaker>||：沒有反應啊……
NPC-Jason(1)<Speaker>K</Speaker>||:重複一遍，這裡是特別偵查鈷5小組，請求信號旗第四分隊鈷13小組協助，收到請回答。+識別代碼DINV-RTSA-1239，現在發起的是緊急通訊，收到請立即回答。
()<Speaker></Speaker>||<SE1>AVG_tele_connect</SE1>:沉默的白噪音隨著一聲電子聲結束，然後傳出了一個男人的聲音。
()<Speaker>鈷13</Speaker>||:<color=#00CCFF>鈷13收到，正在接受你的訊息。完畢。</color>
NPC-Jason(1)<Speaker>K</Speaker>||:鈷13請聽取信息，鈷5需要支援，敵方部隊即將突破防區進入設限區域。請求火力協助。完畢。
()<Speaker>鈷13</Speaker>||:<color=#00CCFF>拒絕，我們沒有獲得開火權限。完畢。</color>
NPC-Jason(1)<Speaker>K</Speaker>||:鈷13請確認現在為緊急情況，軍方裝甲部隊主力已經被阻滯在城區，這是有效火力打擊的最後機會。+請請示你的上級。完畢。
()<Speaker></Speaker>||:電台裡傳來短暫的沉默。
()<Speaker>鈷13</Speaker>||:<color=#00CCFF>拒絕，我很理解和同情你們的情況，但行動前已向你們明確不會有火力支援。完畢。</color>
NPC-Jason(1)<Speaker>K</Speaker>||:我方小組已獲得「寶石」，需要不計一切代價確保「寶石」安全。+另外，我以德意志民主共和國國家安全部少校凱恩·施瓦本的身份，代表德國國家安全部，請求蘇方在本次行動中給予火力支援。+請立即請示你的上級，完畢。
()<Speaker></Speaker>||<SE1>AVG_whitenoise</SE1>:……+電台裡，那個讓人絕望的白噪音持續著。+雖然只是短短的幾秒，但也顯得足夠漫長。
()<Speaker>鈷13</Speaker>||:<color=#00CCFF>鈷13瞭解，正在向上級請示。完畢。</color>
NPC-Jason(1)<Speaker>K</Speaker>||:鈷5收到，感謝。
()<Speaker>鈷13</Speaker>||:<color=#00CCFF>請求已經上報，正在等待莫斯科方面批准。</color>+<color=#00CCFF>獲得開火權限後會向你進行確認聯繫，通訊完畢。</color>
()<Speaker></Speaker>||<SE1>AVG_tele_disconnect</SE1>:K將通訊設備放下，從眼神中可以感覺到這個支援是否會到來連他心裡也沒有數。
()<Speaker>指揮官</Speaker>||:德國國家安全部？
NPC-Jason(1)<Speaker>K</Speaker>||:我知道你想問什麼，事後我再解釋吧。
()<Speaker>指揮官</Speaker>||:希望我們都能活到你解釋的那個時候。+所以在這個鈷13給我們回應前，我們得把那些鐵疙瘩全都擋在外面。
NPC-Jason(1)<Speaker>K</Speaker>||:沒錯，將他們盡可能驅離入口的位置，為火力打擊留出空間。
()<Speaker>指揮官</Speaker>||:嘖……格琳娜，我們還有多少人能夠作戰？
NPC-Kalin(9)<Speaker>格琳娜</Speaker>||：勉強還能湊出來幾個梯隊，但是……
()<Speaker>指揮官</Speaker>||:我明白，幫我接通大家吧。
NPC-Kalin(9)<Speaker>格琳娜</Speaker>||<BGM>BGM_Empty</BGM>：好……
()<Speaker></Speaker>||<BGM>10258</BGM>:指揮用的螢幕中顯示著僅存的人形們，她們清秀的臉上如今都掛著戰場的硝煙和灰燼。+在這無言的默契中，只有敵人炮火的聲音在遠處響起。+指揮官什麼都不用說，她們也什麼都明白，還一如既往地微笑著看著指揮官。+閉上眼睛，深深地吸了一口氣，再次睜開雙眼，手指按下了設置新的任務和路徑的指令。+人形們立即奔赴指定的位置，一切都於悄然無聲中進行，炮火和寒風應和著這一刻的沉默。+放下指揮面板，指揮官才注意到雙拳的關節都已經緊握到發白。
NPC-Jason(1)<Speaker>K</Speaker>||:……
()<Speaker>指揮官</Speaker>||:這是你要的時間，K。+不要辜負她們。
NPC-Jason(1)<Speaker>K</Speaker>||<黑屏1>:……好。
