13309<-ID->()||<BIN>34</BIN><黑屏2>10<黑屏2>:……
13310<-ID->()||<BIN>34</BIN><BGM>BGM_Sneak</BGM>:……滴。+安潔利用通訊站的設備，與外界進行通訊。
13311<-ID->NPC-Ange(0)<Speaker>安潔</Speaker>||<BIN>34</BIN>:……是嗎？+格里芬正在向S11區轉移？我看到了，現在這裡已經亂成一鍋粥了。+……沒錯，我猜也是，軍方一定利用這個藉口，光明正大地進入戰場維持秩序。+我知道，那只是軍方的託辭，他們現在只是在外圍重新部署而已……+一旦真正的主力部隊完全介入戰場，我們就沒有任何阻止他們的機會了。
13312<-ID->NPC-Ange(0)<Speaker>安潔</Speaker>||<BIN>34</BIN>:是。我會盡力延緩他們的速度，但沒法太久如果沒有支援的話。+誒……支援部隊在外圍待命解決不了任何問題……我想您知道他們想做什麼……+我明白，我明白局長您的擔憂，我會盡力為你們爭取時間的。+但是如果一旦發生最壞的情況，我希望您能批准我之前制定的計劃。+我明白，這過於激進，但如果……+是，是，我會等待批准。我會盡力不讓局面變成那個樣子。
13313<-ID->()<Speaker></Speaker>||<BIN>34</BIN>:……通訊結束。
13314<-ID->NPC-Ange(0)<Speaker>安潔</Speaker>||<BIN>34</BIN>:現在，看來該使出全力了。+嗯……希望她們還活著吧……
13315<-ID->NPC-Ange(0)<Speaker></Speaker>||<BIN>34</BIN>:…………滴。+……加密頻道通訊中。
13316<-ID->UMP45(0)<Speaker><通讯框>;NPC-Ange(0)||<BIN>34</BIN>:你好。想我了嗎？
13317<-ID->UMP45(0);NPC-Ange(0)<Speaker></Speaker>||<BIN>34</BIN>:………………
13318<-ID->UMP45(0);NPC-Ange(0)<Speaker>安潔</Speaker>||<BIN>34</BIN>:我想你的時候不會有好事的。+【檔案】怎麼樣了？
13319<-ID->UMP45(0)<Speaker>;NPC-Ange(0)||<BIN>34</BIN>:哼哼，那還用說嗎？
13320<-ID->UMP45(0);NPC-Ange(0)<Speaker>安潔</Speaker>||<BIN>34</BIN>:如果已經搞定了，那應該快點回來吧。
13321<-ID->UMP45(0)<Speaker>;NPC-Ange(0)||<BIN>34</BIN>:遇到了些麻煩呢。+你知道嗎？我們碰巧趕上了格里芬的大撤退哦，所以稍稍幫下忙。
13322<-ID->UMP45(0);NPC-Ange(0)<Speaker>安潔</Speaker>||<BIN>34</BIN>:希爾已經告訴我了，你就是喜歡製造碰巧的事。+好吧，記錄下你救下的人，我會幫你們索要報酬的，如果格里芬還存在的話。
13323<-ID->UMP45(0)<Speaker>;NPC-Ange(0)||<BIN>34</BIN>:要是格里芬不付錢的話，那就麻煩從你的帳戶裡扣吧。
13324<-ID->UMP45(0);NPC-Ange(0)<Speaker>安潔</Speaker>||<BIN>34</BIN>:前提是擁有唯一付帳權限的我活過了這次任務。
13325<-ID->UMP45(0)<Speaker>;NPC-Ange(0)||<BIN>34</BIN>:於是，想我的原因可以告訴我了嗎？
13326<-ID->UMP45(0)<Speaker>;NPC-Ange(0)<Speaker>安潔</Speaker>||<BIN>34</BIN>:新的線索。+想辦法移動到我標記的這個C集合點，對當地數據庫進行掃描調查。
13327<-ID->UMP45(0)<Speaker>;NPC-Ange(0)||<BIN>34</BIN>:哎呀，你看過戰場地圖嗎？你是準備讓我們去送死然後賴帳？
13328<-ID->NPC-Ange(0)<Speaker>安潔</Speaker>||<黑屏1>6</黑屏1><BIN>34</BIN>:報酬是有關蝴蝶事件的幕後元凶的爆料，我說得夠明白了吧。
13329<-ID-><Speaker>UMP45</Speaker>()||<BIN>61</BIN><黑屏2>6</黑屏2><黑屏1>5</黑屏1>:………
13330<-ID->UMP45(0)<通讯框><Speaker>||<BIN>34</BIN><黑屏2>2</黑屏2>:…………+已經挖到這麼深了嗎？
13331<-ID->UMP45(0);NPC-Ange(0)<Speaker>安潔</Speaker>||<BIN>34</BIN>:這方面我可是專業的。+還有，把之前拿到的無人機【檔案】傳給希爾。
13332<-ID->UMP45(0)<Speaker>;NPC-Ange(0)||<BIN>34</BIN>:不是直接交給帕斯卡小姐嗎？
13333<-ID->UMP45(0);NPC-Ange(0)<Speaker>安潔</Speaker>||<黑屏1><BIN>34</BIN>:我會的，但是她只是個解讀者。+畢竟……真正需要這個【檔案】的，可不只她一個人呢。
