()||<BIN>2</BIN><BGM>BGM_Battle</BGM><Night><SE1>Battlefield</SE1><SE2>Gunfight</SE2>:……S06區哨站前，404小隊正式與獵手交火。
HunterElite(0)<Speaker>獵手</Speaker>||:404的老鼠，你們果然出現了！+你們那些卑劣的手段……別以為我沒做過準備！+來吧，讓我看到你們落荒而逃的醜態，然後背對著我倒下吧！
()||<SE1>Battlefield</SE1>:……404小隊陣地。
HK416(3)<Speaker>HK416</Speaker>||:G11，你到底擊中沒有！
G11(2)<Speaker>G11</Speaker>;HK416(3)||<SE2>Gunfight</SE2>:命中四發，不過和情報不一樣，對方還能動呢！
G11(2);HK416(2)<Speaker>HK416</Speaker>||:這個改造真不得了，鐵血到底還有多少底牌……
UMP9(4)<Speaker>UMP9</Speaker>;HK416(2)||<SE1>Battlefield</SE1>:右翼又有敵人過來了，這樣下去我們會被包圍的！
UMP9(4);UMP45(2)<Speaker>UMP45</Speaker>||<SE2>Gunfight</SE2>:放棄行動，最後一輪火力壓制。
HK416(3)<Speaker>HK416</Speaker>;UMP45(2)||<SE1>Battlefield</SE1>:開始壓制！G11！
G11(2)<Speaker>G11</Speaker>;UMP45(2)||<SE2>Gunfight</SE2>:正……正在壓制。
UMP9(4)<Speaker>UMP9</Speaker>;UMP45(2)||:煙霧彈拋出！
UMP45(2)<Speaker>UMP45</Speaker>||<SE1>Battlefield</SE1><黑屏1><SE2>Gunfight</SE2>:就是現在！所有人，快逃！
HunterElite(0)<Speaker>獵手</Speaker>||<SE1>Battlefield</SE1><黑屏2><BGM>BGM_Empty</BGM>:呿……
Weaver(0)<Speaker>銜尾蛇</Speaker><通讯框>;HunterElite(0)||:獵手，為什麼不去追擊。
Weaver(0);HunterElite(0)<Speaker>獵手</Speaker>||:那個銀髮小鬼破壞了我的機動裝置，在完全修復之前，我無法高速行動。
Weaver(0)<Speaker>銜尾蛇</Speaker>;HunterElite(0)||<BGM>BGM_Boss</BGM>:這樣就放棄了嗎，我以為你向來對獵物很執著。
Weaver(0);HunterElite(0)<Speaker>獵手</Speaker>||:她們會回來的，為了瞭解干擾器的位置，她們一定還會來找我。+只要你的支援及時，我就可以拖垮她們的遊擊戰術。
Weaver(0)<Speaker>銜尾蛇</Speaker>;HunterElite(0)||:……我知道了，在增援到來之前，你就堅守哨站吧。
Weaver(0);HunterElite(0)<Speaker>獵手</Speaker>||<黑屏1>:我會的……+真正的獵手，懂得保持沉默。
