AR15(0)<Speaker>ST AR-15</Speaker>||:ラスト1体撃破。
SOPII(0)<Speaker>SOPII</Speaker><Shake>0.1</Shake>||:ハハハハハハ！　全部わたしの！
AR15(0)<Speaker>ST AR-15</Speaker><Shake>0.1</Shake>||:……ちょっと、こっちの足まで引っ張らないで。
M4A1(0)<Speaker>M4A1</Speaker>||:目標の全滅を確認しました。任務完了、次の指示をお願いします。
M16(5)<通讯框><Speaker>M16A1</Speaker>||:よくやったな、M4。
M16(5)<通讯框>;M4A1(0)<Speaker>M4A1</Speaker>||:M16姉さん！+……いいえ、まだまだ初戦です、油断してはいけません。
M16(5)<通讯框><Speaker>M16A1</Speaker>;M4A1(0)||:ペルシカさんの実験だからな、全身全霊で臨まないと。
M16(5)<通讯框>;M4A1(0)<Speaker>M4A1</Speaker>||:ペルシカさんのしたいことは分かりませんが、あの人のことです、//nきっと何か考えがあるはずです。+失望させたくありません……
M16(5)<通讯框><Speaker>M16A1</Speaker>;M4A1(0)||:AR-15とSOP IIもいるんだ、もっとリラックスしてもいいぞ。
M16(5)<通讯框>;M4A1(0)<Speaker>M4A1</Speaker>||:……そういえば、なんでM16姉さんは一緒じゃないんですか？
M16(5)<通讯框><Speaker>M16A1</Speaker>;M4A1(0)||:私は自分の任務があるんだ。+まぁ、私がいなくてもどうにかなるだろ。
M16(5)<通讯框>;M4A1(0)<Speaker>M4A1</Speaker>||:なんか、このまま通信を切ったら、M16姉さんはいなくなるような……
M16(5)<通讯框><Speaker>M16A1</Speaker>;M4A1(0)||:ハハハ、またSOP IIになんか吹き込まれたのか？
M16(5)<通讯框>;M4A1(0)<Speaker>M4A1</Speaker>||:……気のせいです、任務に集中します。
M16(5)<通讯框><Speaker>M16A1</Speaker>||:緊張するな。私はいつでも連絡できるようにしておくからさ。
M4A1(0)<Speaker>M4A1</Speaker>||:はい、分かりました……
