()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:
M1903(10)<Speaker>春田</Speaker>||<BGM>BGM_Moon</BGM><SE1>AVG_Door_Open_Close</SE1><黑点2><BIN>80</BIN>:歡迎光臨……哎呀？
GepardM1(8)<Speaker>獵豹M1</Speaker><Position>0,-60</Position>||:……
()<Speaker></Speaker>||:緩緩地走入咖啡廳內，獵豹略顯不安地坐到了吧檯前。
M1903(10)<Speaker>春田</Speaker>||:喝點什麼？
GepardM1(8)<Speaker>獵豹M1</Speaker><Position>0,-60</Position>||:咖啡。
()<Speaker></Speaker>||<SE1>AVG_20Winter_Drink_Tea</SE1>:得到點單之後，春田哼著調子轉過身去，不一會便端出了一杯咖啡。+嗅著咖啡彌漫的清香味，獵豹如往常一般用雙手握住了咖啡杯。
GepardM1(8)<Speaker>獵豹M1</Speaker><Position>0,-60</Position>||:你不用到慶典現場去嗎？馬上就到時間了。
M1903(10)<Speaker>春田</Speaker>||:慶典很重要，但咖啡廳的工作也不能隨便擱下。+我已經安排好了，其他人會漂亮地給赫麗安小姐一個驚喜的。
GepardM1(8)<Speaker>獵豹M1</Speaker><Position>0,-60</Position>||:……
()<Speaker></Speaker>||:獵豹微微縮了縮手。
GepardM1(8)<Speaker>獵豹M1</Speaker><Position>0,-60</Position>||:我還是……沒有交出去。
M1903(10)<Speaker>春田</Speaker>||:嗯？
()<Speaker></Speaker>||:春田露出了有些驚訝的樣子。
GepardM1(8)<Speaker>獵豹M1</Speaker><Position>0,-60</Position>||:那天……我本來想直接去找赫麗安小姐說這件事的。+但是，一看到她的樣子，我就說不出口。
()<Speaker></Speaker>||:她抿了一口咖啡。
M1903(10)<Speaker>春田</Speaker>||:為什麼呢？
GepardM1(8)<Speaker>獵豹M1</Speaker><Position>0,-60</Position>||:……
()<Speaker></Speaker>||:獵豹將咖啡放下，用手指敲了敲桌面。
GepardM1(8)<Speaker>獵豹M1</Speaker><Position>0,-60</Position>||:……我不知道，或者說我也不確定。+我覺得我不屬於這裡，所以才想要離開。+但是，赫麗安小姐……她，指揮官，格琳娜，還有您，甚至是其他人。+所有人都願意接納我，所有人都在接納我。+這讓我覺得很放鬆，同時，也令我覺得痛苦。
M1903(10)<Speaker>春田</Speaker>||:痛苦？
GepardM1(8)<Speaker>獵豹M1</Speaker><Position>0,-60</Position>||:我覺得我沒有資格享受這一切。
M1903(10)<Speaker>春田</Speaker>||:為什麼一定要有資格呢？獵豹？+或者說，你口中的「資格」究竟指的是什麼呢？
GepardM1(8)<Speaker>獵豹M1</Speaker><Position>0,-60</Position>||:……
()<Speaker></Speaker>||:獵豹再一次陷入沉默，過了半晌，她才緩緩地開口。
