()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:……
NPC-Bodyguard2(0)<Speaker>黑衣男子</Speaker>||<BIN>18</BIN><黑屏2>:上車吧，帕斯卡小姐。
NPC-Bodyguard2(0)<Speaker></Speaker>||<黑屏1>:在黑衣人的監視下，帕斯卡十分不情願地坐上了哈維爾的加長轎車。
()<Speaker></Speaker>||<BIN>166</BIN><黑屏2><BGM>BGM_Room</BGM>:車輛穩定地行駛在街道上。
NPC-Persica(3)<Speaker>帕斯卡</Speaker>||:呃……胃好痛。
NPC-Havel(0)<Speaker>哈維爾</Speaker>;NPC-Persica(3)||:妳這一緊張就胃痙攣的毛病還沒治好啊。不喜歡這輛車嗎？+放心吧，全身都是防彈的，底盤也是防爆特製型，絕對可以保證妳的安全。
NPC-Havel(0);NPC-Persica(3)<Speaker>帕斯卡</Speaker>||:我已經很久沒離開過實驗室了……+相比襲擊，我覺得更危險的是你啊。
NPC-Havel(0)<Speaker>哈維爾</Speaker>;NPC-Persica(3)||:我？真讓人傷心，帕斯卡，我那麼盡心盡力地保證妳的安全。+就算我不來找你，不會過多久安全局的情報官員就會來敲妳的門。+相比我來說，我想他們的友善程度一定會讓你大開眼界。
NPC-Havel(0);NPC-Persica(1)<Speaker>帕斯卡</Speaker><Shake>||:唔……
NPC-Havel(0)<Speaker>哈維爾</Speaker>;NPC-Persica(1)||:趁著在車上，我們還可以輕鬆地閒聊一會兒。+來說說在研究院時的情況吧。+我想難得出門轉換心情，妳一定有很多快樂的回憶想和我分享吧？
NPC-Havel(0);NPC-Persica(0)<Speaker>帕斯卡</Speaker>||:你想知道些什麼？
NPC-Havel(0)<Speaker>哈維爾</Speaker>;NPC-Persica(0)||:我記得妳和萊柯年紀差別還挺大的，你們怎麼會一起進行研究的？
NPC-Havel(0);NPC-Persica(0)<Speaker>帕斯卡</Speaker>||:萊柯是少見的天才……他在神經控制和電子歸算上的研究要比我出色不少。+人形心智的形成需要多科種的知識配合，他在我們加入90wish前就已經幫了我很多忙了。
NPC-Havel(0)<Speaker>哈維爾</Speaker>;NPC-Persica(0)||:的確，他開發的鐵血人形的心智也不比我們IOP的產品差，真是可怕的對手呢。+所以，你們和那個露尼西亞是什麼關係？
NPC-Havel(0);NPC-Persica(3)<Speaker>帕斯卡</Speaker>||:她只是所長的女兒而已。+有時候所長太忙了顧不上她，她會來我們的研究室待著，有的時候會跟我們聊天，說說她家人的事。
NPC-Havel(0)<Speaker>哈維爾</Speaker>;NPC-Persica(3)||:家人的事？
NPC-Havel(0);NPC-Persica(3)<Speaker>帕斯卡</Speaker>||:她抱怨所長並不經常關心她和她的弟弟，還說她們很快就要搬離這座城市了。
NPC-Havel(0)<Speaker>哈維爾</Speaker>;NPC-Persica(3)||:那個時候奧貝斯坦可是受到了很多的指責，他在遺跡署那邊的名聲也不是特別好。+在那種情況下大概是想把家人送走避避風頭吧。
NPC-Havel(0);NPC-Persica(0)<Speaker>帕斯卡</Speaker>||:雖然當時我並不知道所長發生了什麼，但我猜應該也不會是什麼好事。+那時候所長的臉色總是不怎麼好，我還以為那個開發組很快就會被清算。+露尼西亞沒多久就離開了研究院。在走之前，她和我們拍了這張照片，從那以後我就再也沒有見過她……
NPC-Havel(0)<Speaker>哈維爾</Speaker>;NPC-Persica(0)||<BGM>BGM_Empty</BGM>:原來是這樣……那麼露尼西亞和妳製作的人形又有什麼關係呢？
NPC-Havel(0);NPC-Persica(3)<Speaker>帕斯卡</Speaker>||:……
NPC-Havel(0);NPC-Persica(3)<Speaker></Speaker>||<BGM>BGM_Sneak</BGM>:帕斯卡握緊了雙手。她看著車外不斷朝後的大樓，又慢慢將目光轉回車內的地毯上。
NPC-Havel(0);NPC-Persica(3)<Speaker>帕斯卡</Speaker>||:其實在進入IOP前，那個「威廉」聯繫過我們。
NPC-Havel(1)<Speaker>哈維爾</Speaker>;NPC-Persica(3)||:嗯？
NPC-Havel(1);NPC-Persica(3)<Speaker>帕斯卡</Speaker>||:那個時候我們已經知道露尼西亞已經得病去世了，我和萊柯都為她感到傷心。+但是突然某一天，那個「威廉」忽然來聯繫我們。+雖然我們都知道在90wish中有這個人的存在，但我們誰都沒有見過他，而且那個人的說話方式惹人討厭，在小組內也沒什麼好名聲。+但是他的報告總是讓人驚訝，我原本以為萊柯已經非常天才了，那個「威廉」的天才程度還在萊柯之上。
NPC-Havel(1)<Speaker>哈維爾</Speaker>;NPC-Persica(3)||<黑屏1>:能讓妳說出這種話，想必是見到了相當有力的證據吧。
()<Speaker>帕斯卡</Speaker>||<BIN>252</BIN><黑屏2>:他寄給了我們一個郵包，裡面有一張基於腦部訊息序列的數據組，那個數據組真的非常龐大，我和萊柯都驚呆了。+這是基於人類的腦部數字化算法得出來的數據，我們都無法想像他是怎麼做到的。+在聯絡中，他希望我們基於這些數據製作心智，並且希望我們將數據還原成腦部結構切片。+我和萊柯查看後，解碼出了露尼西亞和我們一起時的記憶，所以意識到了這個「威廉」想做什麼。
()<Speaker>哈維爾</Speaker>||:將人類腦部的數據數字化？+那不是就和現在的那幾個人形……
()<Speaker>帕斯卡</Speaker>||<黑屏1>:是的……雖然當時我沒有去嘗試，但最後我還是實現了這一步。
NPC-Havel(1)<Speaker>哈維爾</Speaker>||<BIN>166</BIN><黑屏2>:沒想到AR小隊是因為這樣的原因才特殊……+不過如果是這樣做，即使是用在人形身上，不也是變相地復活了露尼西亞？如此一來那個「威廉」是奧貝斯坦所長的可能性就變得很大了。
NPC-Havel(1);NPC-Persica(2)<Speaker>帕斯卡</Speaker>||:原本我們也是這麼懷疑，但是所長對這塊的研究一直都是嚴加禁止，從態度上也沒看出有任何的變化。+而且如果真的是他，我想你早就已經查出「威廉」的身份了吧？
NPC-Havel(0)<Speaker>哈維爾</Speaker>;NPC-Persica(2)||:真是瞞不了妳，我們早就已經調查了個底朝天了。+但的確那個所長沒有半點嫌疑，不然他後面也不會升職去做科學技術部部長了。
NPC-Havel(0);NPC-Persica(0)<Speaker>帕斯卡</Speaker>||:我知道所長對這類研究反對的原因，這的確已經涉及了人類的倫理道德。+在我提出想去完成開發時，萊柯也是堅決反對的。
NPC-Havel(0)<Speaker>哈維爾</Speaker>;NPC-Persica(0)||:是嗎……我還以為開發出鐵血的人才是最積極的那個呢。
NPC-Havel(0);NPC-Persica(0)<Speaker>帕斯卡</Speaker>||:萊柯的性格其實非常內向保守，他不願意接受的事不管怎麼說服都不會奏效。+我對他再瞭解不過了，所以即使我想做那樣的嘗試他也不會答應，而當時的我是無法做到獨立開發合格心智模組的。+所以我只能回絕了那個「威廉」，那個人當時非常地生氣，他說對我們非常失望，還說會讓我們付出代價。+不知道為什麼，我竟然沒有生氣。+我想那個人一定非常重視露尼西亞，也許他把所有希望都寄託在我們身上，所以當希望消失時他才會那麼憤怒。
NPC-Havel(0)<Speaker>哈維爾</Speaker>;NPC-Persica(0)||:後來「威廉」有再和你們聯繫過嗎？
NPC-Havel(0);NPC-Persica(0)<Speaker>帕斯卡</Speaker>||<BGM>BGM_Empty</BGM><黑屏1>:後來就再也沒有了……至少直接的聯繫是這樣。+直到57年格里芬被襲擊的那幾次事件發生的時候。
()<Speaker>哈維爾</Speaker>||<BIN>102</BIN><回憶><黑屏2><BGM>BGM_Room</BGM>:兒童襲擊格里芬雇員的那個事件嗎？+似乎為了降低影響，事件的檔案都已經被抹除了。
()<Speaker>帕斯卡</Speaker>||<黑屏1>:不過你應該看過原始檔案吧。
()<Speaker>哈維爾</Speaker>||<BIN>103</BIN><黑屏2><黑屏1>:安潔給妳的檔案就是我這邊收集來的。
()<Speaker>帕斯卡</Speaker>||<BIN>104</BIN><黑屏2><黑屏1>:果然是這樣……+那你應該也知道，那些孩子的腦部數據和那個時候「威廉」發給我們的數據組幾乎是一致的這件事吧？
()<Speaker>哈維爾</Speaker>||<BIN>105</BIN><黑屏2><黑屏1>:這我可是第一次聽說。
