 ()||<BGM>BGM_Sneak</BGM><BIN>18</BIN>:……行動結束五小時後，格里芬總部會議廳前。
OTs14(0)<Speaker>OTs14</Speaker>||:會議還沒囉嗦完呢，你還好嗎，莫辛納甘？
M1891(0)<Speaker>M1891</Speaker>;OTs14(0)||:嗯，我……沒問題的。
M1891(0);OTs14(0)<Speaker>OTs14</Speaker>||:在這兒站著當花瓶很無聊吧，還要擔心妹妹的事……
M1891(0)<Speaker>M1891</Speaker>;OTs14(0)||:交給馬卡洛夫，我應該很放心呢，只是現在還沒消息……
M1891(0);OTs14(0)<Speaker>OTs14</Speaker>||:那裡曾經是鐵血的重要基地，不會那麼快被摸清楚的。+放心吧，畢竟赫麗安還派了指揮官來協助她們……
M1891(0)<Speaker>M1891</Speaker>;OTs14(0)||:噓……這件事別被軍方的人聽到……
M1891(0);OTs14(0)<Speaker>OTs14</Speaker>||:也對呢，他們可不想我們把指揮官用在這種地方。+不過……為了救納甘，赫麗安居然派上了指揮官呢。
M1891(0)<Speaker>M1891</Speaker>;OTs14(0)||:嗯，我很感激赫麗安小姐的決定。+不管是為了什麼，也無論結果如何……
M1891(0)<Speaker>M1895</Speaker>;OTs14(0)||<BGM>BGM_Empty</BGM>:哈哈，找到你啦，莫辛納甘！
M1891(0)<Speaker>M1891</Speaker>;OTs14(0)||:誒……
M1891(0);M1895(0)<Speaker>M1895</Speaker>||<BGM>BGM_Sunshine</BGM>:總算回來了，各位，有沒有想我呢！
OTs14(0)<Speaker>OTs14</Speaker>;M1895(0)||:哼，看來結果還不錯呢。
OTs14(0);AK47(0)<Speaker>AK47</Speaker>||:哎呀……這回可累死我們啦。
SKS(0)<Speaker>SKS</Speaker>;AK47(0)||:不過看到這一幕，稍稍冒點險也算值得了。
SKS(0);M1891(0)<Speaker>M1891</Speaker>||:謝謝你們，AK47，SKS……+說起來……馬卡洛夫呢？
M1895(0)<Speaker>M1895</Speaker>;M1891(0)||:她去見赫麗安了，好像有重要的事去稟報。
M1895(0);AK47(0)<Speaker>AK47</Speaker>||:是因為你之前手裡那個玩意嗎？剛剛好像被她拿走了啊。
M1895(0);SKS(0)<Speaker>SKS</Speaker>||:究竟是什麼東西啊，有那麼貴重嗎？
M1895(0)<Speaker>M1895</Speaker>||<黑屏1>:那個啊……+我記得……只是個普通的通訊器哦。
 ()||<BGM>BGM_Room</BGM><BIN>8</BIN><黑屏2>:……此時，赫麗安的辦公室。
NPC-Helian(0)<Speaker>赫麗安</Speaker>||:這次行動圓滿完成，你和指揮官很快會受到嘉獎。
PM(0)<Speaker>馬卡洛夫</Speaker>;NPC-Helian(0)||:感謝您。+不過恕我冒昧，這件通訊裝置有什麼特別的地方嗎？
PM(0);NPC-Helian(0)<Speaker>赫麗安</Speaker>||:哦？平時的你可不會過問這些呢。
PM(0)<Speaker>馬卡洛夫</Speaker>;NPC-Helian(0)||:稍稍有點好奇……對於我們接受的命令。
PM(0);NPC-Helian(0)<Speaker>赫麗安</Speaker>||:這是AR-15遺落在當地的東西，根據情報，鐵血可能在上面動過手腳。+16LAB希望能研究一下，搞不好……會成為我們致勝的關鍵。
PM(0)<Speaker>馬卡洛夫</Speaker>;NPC-Helian(0)||:……明白了。+這次行動，沒有指揮官的引導，我們是不可能成功的。
PM(0);NPC-Helian(0)<Speaker>赫麗安</Speaker>||:是有這種可能……然後呢？
PM(0)<Speaker>馬卡洛夫</Speaker>;NPC-Helian(0)||:如果……+如果納甘沒有拿著這個東西，你還會派出指揮官幫我們嗎？
PM(0);NPC-Helian(0)<Speaker>赫麗安</Speaker>||<黑屏1>:…………+馬卡洛夫，你……
赫麗安()<Speaker>赫麗安</Speaker>||<BIN>9</BIN><黑屏2>:（笑）你好像對自己的使命，開始有興趣了。
馬卡洛夫()<Speaker>馬卡洛夫</Speaker>||:嗯……+或者說，對我們自己……產生了興趣而已。
