()||<BIN>9</BIN><SE1>AVG_Rain2</SE1><BGM>BGM_Empty</BGM>:……
？？()<Speaker>？？</Speaker>||<BIN>9</BIN>:M4……+…………+M4A1……
M4A1()<Speaker>M4A1</Speaker>||<BIN>9</BIN><黑屏1>:…………+我這是……在哪裡……
M4A1()<Speaker>M4A1</Speaker>||<BIN>117</BIN><黑屏2>:……！+這……+A……AR……
AR15()<Speaker>AR15</Speaker>||<BIN>117</BIN>:別亂動。+背你很累的。
M4A1()<Speaker>M4A1</Speaker>||<BIN>117</BIN><BGM>BGM_Wake</BGM>:…………+真的……是你？
AR15()<Speaker>AR15</Speaker>||<BIN>117</BIN><SE2>AVG_Rain2</SE2>:別亂動腦袋，聽聲音就能足夠了吧？
M4A1()<Speaker>M4A1</Speaker>||<BIN>117</BIN>:為什麼……+……我不敢相信！+AR15……你……還活著？！
AR15()<Speaker>AR15</Speaker>||<BIN>117</BIN>:先離開這裡，之後我會慢慢解釋這個事。
M4A1()<Speaker>M4A1</Speaker>||<BIN>117</BIN><SE1>AVG_Rain2</SE1>:可是為什麼……在這個時候，你會出現……
AR15()<Speaker>AR15</Speaker>||<BIN>117</BIN>:我有我自己的任務，遇到你只是順道罷了。+不過……至少不算是壞事吧。
M4A1()<Speaker>M4A1</Speaker>||<BIN>118</BIN>:先放我下來，我自己走。
AR15()<Speaker>AR15</Speaker>||<BIN>118</BIN>:如果你能走，我就沒必要背著你了。
M4A1()<Speaker>M4A1</Speaker>||<BIN>118</BIN>:……？！+我的身體，不聽使喚……？
AR15()<Speaker>AR15</Speaker>||<BIN>118</BIN><SE2>AVG_Rain2</SE2>:要怪就怪旁邊那個傢伙吧……+她在斷線時出了些問題，你的心智模組受了點損壞，行動暫時受了些限制。
AK12()<Speaker>AK12</Speaker>||<BIN>118</BIN>:多少是我的錯啦，所以我才幫你背了這個匣子呀。+不過你們這種落後的人形非要裝那麼精密的模組，多少也有責任吧？
M4A1()<Speaker>M4A1</Speaker>||<BIN>118</BIN>:那是……誰的聲音？
AK12()<Speaker>AK12</Speaker>||<BIN>118</BIN>:戰術人形AK12，來自【忤逆】小隊。
M4A1()<Speaker>M4A1</Speaker>||<BIN>118</BIN>:忤逆……？你們是做什麼的？+AR15，你現在也是她們的一員？
AR15()<Speaker>AR15</Speaker>||<BIN>118</BIN>:我接受了新的雇主，沒有選擇。+安潔莉婭，你見過她。
M4A1()<Speaker>M4A1</Speaker>||<BIN>118</BIN>:安潔……莉婭……？+……那個幫我進入作戰區域的女人嗎？+其他人呢？+SOP2……還有RO呢？
