()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:
()<Speaker></Speaker>||<BGM>GF_Memorial</BGM><黑屏1>:两周后……
()<Speaker></Speaker>||<黑屏2><BIN>73</BIN>:热火朝天的训练场上，m45和M1887躲在一边小声交流。
M1887(2)<Speaker>M1887</Speaker>||:你说什么？
m45(0)<Speaker>m45</Speaker>;M1887(2)||:我也有一样的感觉……
m45(0);M1887(2)<Speaker>M1887</Speaker>||:你们都觉得，93她最近有点不正常吗？
m45(0)<Speaker>m45</Speaker>;M1887(2)||:只是简单的突围训练，她一直躲在角落。
m45(0);M1887(2)<Speaker>M1887</Speaker>||:看起来像是……卡住了？
m45(0)<Speaker>m45</Speaker>;M1887(2)||:你怎么知道？
m45(0);M1887(2)<Speaker>M1887</Speaker>||:自从那次委托行动失败后，她就一直是这样。
m45(0)<Speaker>m45</Speaker>;M1887(2)||:欸？生病了吗？ 
m45(0);M1887(2)<Speaker>M1887</Speaker>||:她只是还没有接受那个失败吧。
m45(0)<Speaker>m45</Speaker>;M1887(2)||:好可怜……她一定是走到什么死胡同里了吧。+我想，我应该找个时间和她聊一聊，87姐要一起吗？
m45(0);M1887(2)<Speaker>M1887</Speaker>||:哎，要是能有点改变的话最好了，不过我觉得，也别抱太大的希望吧。+我就不去了，她自己的心结，需要她自己解开。
m45(0)<Speaker>m45</Speaker>;M1887(2)||:但那次行动不是你们一起……
m45(0);M1887(2)<Speaker>M1887</Speaker>||:嗯？麻烦你，直言不讳。
m45(0)<Speaker>m45</Speaker>;M1887(2)||:我总觉得，或许她……也有一些苦衷吧，我不相信93在那种情况……
m45(0);M1887(2)<Speaker>M1887</Speaker>||:喂！+看看那边的情况，绿区的污染范围还在扩大呢。+这是个很严重的事故，而承担后果的是那些难民们。+如果因为什么苦衷而谅解任何人的这种错误，那样比让人走投无路更加过分吧。+……+唔……对不起，我有点激动。
m45(0)<Speaker>m45</Speaker>;M1887(2)||:……+嗯……我是说，对人形来说，她没有必要觉得，那颗炸弹是她自己引爆的。
m45(0);M1887(2)<Speaker>M1887</Speaker>||:你的意思，是我对她太苛刻了吗？+但我一直都遵循计划的考虑，这不是人形的天职吗？
m45(0)<Speaker>m45</Speaker>;M1887(2)||:在那种情况下，不管是谁，都会选择生命吧。
m45(0);M1887(2)<Speaker>M1887</Speaker>||:或许你有你的道理。
m45(0)<Speaker>m45</Speaker>;M1887(2)||<黑屏1>:考虑一下，对93好一点啦。+她现在需要的是你的肯定。
()<Speaker></Speaker>||<黑屏2><BIN>97</BIN>:训练结束后，M45带着点心敲响了RMB93的寝室大门。
m45(0)<Speaker>m45</Speaker>||<SE1>AVG_20Winter_Doorbell</SE1>:嘿93！是我，M45。
m45(0);RMB93(7)<Speaker>RMB93</Speaker||：你好。
m45(0)<Speaker>m45</Speaker>;RMB93(7)||:我能进去吗？
m45(0);RMB93(7)<Speaker>RMB93</Speaker||：请确认你的身份。
m45(0)<Speaker>m45</Speaker>;RMB93(7)||:欸？你连我的声音都认不出吗？
m45(0);RMB93(7)<Speaker>RMB93</Speaker||：你是我的同事。+但我并不记得今晚有见面的计划。+如果你只是一段语音，那么据点被攻陷的可能性也是有的。
m45(0)<Speaker>m45</Speaker>;RMB93(7)||:<color=#A9A9A9>呃……这是什么诡异的身份识别，得找个办法……</color>+对了，上次的奖金发下来啦，你有很多加班费喔。+要不要出来确认一下？
()<Speaker></Speaker>||<SE1>AVG_20Winter_Door_Open</SE1>：门被突然打开。
m45(0);RMB93(7)<Speaker>RMB93</Speaker||：这么快吗？多少多少？
m45(0)<Speaker>m45</Speaker>;RMB93(7)||:让我进去就告诉你。
()<Speaker></Speaker>||<黑屏1>：RMB93微微点头……
m45(0)<Speaker>m45</Speaker>||<黑屏2><BIN>82</BIN>:好咯，我就坐在这里，你不要怕，我是真的。
m45(0);RMB93(7)<Speaker>RMB93</Speaker||：……
m45(0)<Speaker>m45</Speaker>;RMB93(7)||:既然认可我在这里，那我就和你说说我的看法。+我觉得，那不是你的错。
m45(0);RMB93(7)<Speaker>RMB93</Speaker||：我的错？你知道什么呢？
m45(0)<Speaker>m45</Speaker>;RMB93(7)||:是我的话，我也会做出同样的选择。
m45(0);RMB93(7)<Speaker>RMB93</Speaker||：……
m45(0)<Speaker>m45</Speaker>;RMB93(7)||:或许你不必把莫须有的罪责都扛在自己肩上，你还有大家呀。
m45(0);RMB93(7)<Speaker>RMB93</Speaker||：大家？你是指……同事吗？
m45(0)<Speaker>m45</Speaker>;RMB93(7)||:同事？不，同伴呀。
m45(0);RMB93(7)<Speaker>RMB93</Speaker||：同事之间，按照计划执行任务，每个人都做好自己的事情就可以了。+虽然会合作，但也没有到同伴的地步吧。
m45(0)<Speaker>m45</Speaker>;RMB93(7)||:欸？那我呢，算不算同伴？
m45(0);RMB93(7)<Speaker>RMB93</Speaker||：嗯？你是所有同事当中很特别的一个吧，谢谢你来找我聊天。
m45(0)<Speaker>m45</Speaker>;RMB93(7)||:<color=#A9A9A9>咦？把所有人都当作一个同事了吗……不至于呆到这种程度吧。</color>
m45(0);RMB93(7)<Speaker>RMB93</Speaker||：我想，我必须先找到接受自己的方式，才能和同事们相提并论吧。
m45(0)<Speaker>m45</Speaker>;RMB93(7)||:你和大家没有什么不同。
m45(0);RMB93(7)<Speaker>RMB93</Speaker||：我不能再犯错了。
m45(0)<Speaker>m45</Speaker>;RMB93(7)||:那就在训练当中证明自己。
m45(0);RMB93(7)<Speaker>RMB93</Speaker||：我会注意的，不过说起来……
m45(0)<Speaker>m45</Speaker>;RMB93(7)||:嗯？想问什么？
m45(0);RMB93(7)<Speaker>RMB93</Speaker||：你不是进来给我发奖金的吗？
m45(0)<Speaker>m45</Speaker>;RMB93(7)||<黑屏1>:啊，这个嘛……+<color=#A9A9A9>这就是不管怎么样都改变不了的本性吗……</color>
()<Speaker></Speaker>||<黑屏2><BIN>73</BIN>:翌日，训练场。+模拟人质解救计划，扛着人质正准备跳窗逃走的M1887发现RMB93展开了疯狂屠戮。+M1887立刻停止模拟训练，揪起RMB93，凑近了她的脸。
M1887(2)<Speaker>M1887(2)</Speaker;RMB93(7)||：93，看清楚我是谁！
M1887(2);RMB93(7)<Speaker>RMB93</Speaker||：欸？你放开我……+这可不是训练计划的内容！
M1887(2)<Speaker>M1887(2)</Speaker;RMB93(7)||：计划？只是人质解救训练，救人就好了呀。+为什么要把所有敌人都击败？
M1887(2);RMB93(7)<Speaker>RMB93</Speaker||：对不起，我必须把所有可能性都预想到位。
M1887(2)<Speaker>M1887(2)</Speaker;RMB93(7)||：所以就把我当作敌人？幸亏你打偏了，哎真是……+<color=#A9A9A9>不好操作的老毛病又犯了。</color>
M1887(2);RMB93(7)<Speaker>RMB93</Speaker||：我只是不想，再犯错。+再也不想。
M1887(2)<Speaker>M1887(2)</Speaker;RMB93(7)||：93，你现在，需要休息。
M1887(2);RMB93(7)<Speaker>RMB93</Speaker||：……
M1887(2)<Speaker>M1887(2)</Speaker;RMB93(7)||：我会通知格琳娜的，现在的你，不像是那个以前的93了。
M1887(2);RMB93(7)<Speaker>RMB93</Speaker||<黑屏1>：……
()<Speaker></Speaker>||<BIN>9</BIN><黑屏1>:测试3+呼唤帮助，就是承认自己的问题吗？——
