()||<BIN>9</BIN><BGM>BGM_Empty</BGM>:…………20分鐘後，M16在工廠內連接終端。
NPC-Persica(0)<Speaker>帕斯卡</Speaker><通讯框>||:M16，門還沒打開嗎？+我說啊……實在不行，你就不能把你的手當炸藥，把門炸開嗎？
M16(3)<Speaker>M16A1</Speaker>;NPC-Persica(0)||<BGM>BGM_Room</BGM>:真是抱歉，我不是軍用人形，身上沒搭載你期望的那種高級零件。+不過有鐵血的許可權，解碼應該不會浪費太多時間了。+呃……不知道為什麼，我總覺得自己曾經在這裡幹過同樣的事…………
M16(3);NPC-Persica(2)<Speaker>帕斯卡</Speaker>||:人形也會有“既視感”嗎……有意思……+感謝我吧，你的運算效率，可比軍用人形快多了……破解這種門，不是什麼大問題。
M16(0)<Speaker>M16A1</Speaker>;NPC-Persica(2)||:哈哈……下回……還是把我搞得再笨一點吧。+這樣，我才能更加死心塌地去送死啊……
M16(0);NPC-Persica(0)<Speaker>帕斯卡</Speaker>||:我製作了你，可不只是為了讓你上戰場。+對了，M16……我聯繫到RO和SOP2了。
M16(3)<Speaker>M16A1</Speaker>;NPC-Persica(0)||:是嗎……那還不錯……+你繼續說吧，我聽著呢。
M16(3);NPC-Persica(0)<Speaker>帕斯卡</Speaker>||:她們身體狀態很好，只是心智上……有些失落。
M16(2)<Speaker>M16A1</Speaker>;NPC-Persica(0)||:我知道，因為我離開了她們，還欺騙了她們。
M16(2);NPC-Persica(0)<Speaker>帕斯卡</Speaker>||:後者她們還不知道，RO醒著，她還在等你回來。
M16(0)<Speaker>M16A1</Speaker>;NPC-Persica(0)||:（歎氣）你可真會安慰人呀，我都搞不懂誰才是人形了……
M16(0);NPC-Persica(3)<Speaker>帕斯卡</Speaker>||:抱歉，M16……不過，你很喜歡RO嗎？
M16(0)<Speaker>M16A1</Speaker>;NPC-Persica(3)||:她比M4更積極果斷，更有行動力，更適合當一個隊長。+雖然有點衝動，但沒人會因此討厭她。
M16(0);NPC-Persica(2)<Speaker>帕斯卡</Speaker>||:這個心智AI，我也很滿意。+我不打算修改她了，AR小組每個人形，就維持這樣吧。
M16(0)<Speaker>M16A1</Speaker>;NPC-Persica(2)||:你真的不打算修改了？SOP2上回，可差點失控了呢。
M16(0);NPC-Persica(2)<Speaker>帕斯卡</Speaker>||:這也是……必要的一步。+你不會因此討厭她吧？
()||:…………M16苦笑了一聲。
M16(0)<Speaker>M16A1</Speaker>;NPC-Persica(2)||:我只是放不下心而已呀……+畢竟之後……留給她犯錯的機會就不多了……
M16(0);NPC-Persica(0)<Speaker>帕斯卡</Speaker>||:那麼，有什麼想留給她們的嗎？
M16(0)<Speaker>M16A1</Speaker>;NPC-Persica(0)||:沒了，我沒什麼要多說的了。+剩下的就交給M4了，我相信她……
()||:…………滴！
M16(3)<Speaker>M16A1</Speaker>;NPC-Persica(0)||<黑屏1>:搞定了。+帕斯卡，我要進去了。
()||<BIN>9</BIN><黑屏2><BGM>BGM_Empty</BGM>:…………M16掰開了大門，小心翼翼地穿了過去。+……隨後，倒吸了一口冷氣。
帕斯卡()<Speaker>帕斯卡</Speaker>||:M16，你發現了什麼。
M16A1()<Speaker>M16A1</Speaker>||<黑屏1>:我不知道，大概是個培育所……+說真的，在這裡面發現什麼我都不會奇怪。
M16A1()<Speaker>M16A1</Speaker>||<黑屏2><BIN>54</BIN><BGM>BGM_Boss</BGM>:現場被清理過，無法判斷這裡發生過什麼……+不過……這裡可能飼養過什麼……+一個怪物？……我猜不會好到哪兒去的。
NPC-Persica(3)<Speaker>帕斯卡</Speaker><通讯框>||:這不重要，M16。+找到那個訊號源，一定有什麼才對。
 ()||:…………M16俯身下去，搜索了培育所的角落。
M16(3)<Speaker>M16A1</Speaker>;NPC-Persica(3)||:我找到了訊號發射器……+但是，我還是看不出這個訊號的標識……+不是鐵血，也不是格里芬，我的雲圖裡沒有對應的情報。
M16(3);NPC-Persica(3)<Speaker>帕斯卡</Speaker>||:果然……有其他人來過，在蝴蝶事件之後。+檢查一下那個發射器。
M16(3)<Speaker>M16A1</Speaker>;NPC-Persica(3)||:很遺憾，我看了一下，只是個普通的發射器而已。+裡面什麼都沒有，很難判斷這玩意有什麼用……
M16(3);NPC-Persica(3)<Speaker>帕斯卡</Speaker>||:那就說明……這個房間，也許才是關鍵。
 ()||:…………帕斯卡稍稍思考了一下。
M16(3);NPC-Persica(0)<Speaker>帕斯卡</Speaker>||:M16，這個房間裡，有監控裝置？
M16(3)<Speaker>M16A1</Speaker>;NPC-Persica(0)||:有，不過已經壞掉了。
M16(3);NPC-Persica(0)<Speaker>帕斯卡</Speaker>||:那麼……會儲存影像的東西，有可能有嗎？
M16(3)<Speaker>M16A1</Speaker>;NPC-Persica(0)||:稍等一下……+……找到了！角落裡有台作業系統，下面有一個大型記憶體。+作業系統雖然關閉了，但看指示燈的狀態，似乎還是完好的。+如果有監控影像的話，估計會存在這裡面……
M16(3);NPC-Persica(0)<Speaker>帕斯卡</Speaker>||:裡面……一定有那天的記錄……+打開作業系統，看看能否進行入侵。
 ()||:…………M16掃去了灰塵，打開作業系統。+……系統中傳來了電子警告聲。
