15121<-ID->()||<BIN>9</BIN><SE1>AVG_Rain2</SE1><BGM>BGM_Empty</BGM>:……
15122<-ID->？？()||:M4……+…………+M4A1……
15123<-ID->()||<SE2>AVG_Rain2</SE2>:頭好重……+有誰……有誰在叫我？+耳畔傳來一個令人懷念的聲音。+在那個聲音的呼喚下，我努力睜開了眼睛。
15124<-ID->M4A1()||<BIN>9</BIN><黑屏1>:…………+我這是……在哪裡……
15125<-ID->M4A1()||<BIN>117</BIN><黑屏2>:……！+這……+A……AR……
15126<-ID->AR15()||:別亂動。+背你很累的。
15127<-ID->M4A1()||<BGM>BGM_Wake</BGM>:…………+真的……是你？
15128<-ID->AR15()||<SE2>AVG_Rain2</SE2>:別亂動腦袋，聽聲音就足夠了吧？
15129<-ID->M4A1()||:為什麼……+……我不敢相信！+AR15……你……還活著？！
15130<-ID->AR15()||:先離開這裡，之後我會慢慢解釋這個事。
15131<-ID->M4A1()||<SE1>AVG_Rain2</SE1>:可是為什麼……在這個時候，你會出現……
15132<-ID->AR15()||<黑屏1>:我有我自己的任務，遇到你只是順道罷了。+不過……至少不算是壞事吧。
15133<-ID->()||<BIN>9</BIN><SE2>AVG_Rain2</SE2>:……+我又重新見到了她。+AR15……她還活著。+對我來說，這本該是個意外的驚喜——+這是我在她消失的那段時間裡，一直期待著的奇蹟。+我本該笑著迎接她的。+但如今這個時刻，我卻笑不出來。+那些一直幫助我的人……+那些和曾經的AR15一樣陪伴在我身邊的人……+她們又去了哪裡？
15134<-ID->M4A1()||<BIN>118</BIN><黑屏2>:其他人呢？+SOP2……還有RO呢？
15135<-ID->AR15()||<SE1>AVG_Rain2</SE1>:……現在不是想她們的時候，鐵血的精銳還在附近。+專注你眼前的事情，把嘴閉上，跟我撤退。
15136<-ID->M4A1()||<BIN>118</BIN><黑屏1>:……+SOP2……+RO……
15137<-ID->M4A1()||<SE2>AVG_Rain2</SE2><BIN>9</BIN><黑屏2>0.8</黑屏2><黑屏1>2</黑屏1>:我……記得……+我看到RO她……
15138<-ID->M4A1()||<黑屏2>:不行！我不能……不能丟下她們！+放下我，讓我回去！
15139<-ID->AR15()||:別亂動！把你丟在這裡，以你現在的狀態跑不出十步就會被鐵血抓到。
15140<-ID->M4A1()||<BIN>9</BIN><黑屏1>:那我這個樣子，又是誰的錯！
15141<-ID->AR15()||<BIN>117</BIN><黑屏2><SE2>AVG_Rain2</SE2>:我們是為了破壞你和監視你的人之間的聯繫，才不得不強行切斷你的二級平層連線。
15142<-ID->M4A1()||<BIN>117</BIN>:監視我的人？+……誰？誰在監視我？
15143<-ID->AR15()||<BIN>117</BIN>:你真的認為，我們的敵人只有鐵血而已嗎？
15144<-ID->M4A1()||<BIN>117</BIN>:究竟……究竟是怎麼回事……+格里芬的任務……不就是消滅鐵血嗎……+我卻……我卻拋下自己的隊友，和目標……
15145<-ID->AR15()||<BIN>117</BIN><黑屏1>:無論你要做什麼，先休息吧。+你想要的力量，我們之後會給你的……
15146<-ID->M4A1()||<BIN>9</BIN><黑屏2>:…………
15147<-ID->()||<黑屏1>:我本該為她們帶來理所當然的勝利的。+但是現在無論是隊友，還是目標……我都已經失去了。+而AR15說的話，讓我充滿了愧疚和不安的心緒，我……變得更加迷茫了。+我應該怎麼辦？+……+我應該去找她們的……+SOP2……RO……+但是我卻無能為力。+我甚至連自己的身體都無法控制。+我需要力量……+如果我有足夠的力量的話……+我……+……
