13699<-ID->()||<BIN>99</BIN><BGM>BGM_Room</BGM>:…………
13700<-ID->AK12(0)<Speaker><通讯框>||<BIN>99</BIN>:安潔，進展順利嗎？
13701<-ID->AK12(0);NPC-Ange(0)<Speaker>安潔</Speaker>||<BIN>99</BIN>:這是形式上的慰問？
13702<-ID->AK12(0)<Speaker>;NPC-Ange(0)||<BIN>99</BIN>:我聽說家用人形最開始就是為人類解悶用的。
13703<-ID->AK12(0);NPC-Ange(0)<Speaker>安潔</Speaker>||<BIN>99</BIN>:（苦笑）那你做得不錯，我現在心情好多了。+說正事，我現在摸進了軍方的防線內……
13704<-ID->AK12(0);NPC-Ange(0)<Speaker>||<BIN>99</BIN>:啊……不愧是你，一如既往的不要命。
13705<-ID->AK12(0);NPC-Ange(0)<Speaker>安潔</Speaker>||<BIN>99</BIN>:是啊，可惜我就是死不了。+有個不幸的消息，軍方的坦克已經開始部署了。+有一列洲際列車到達了這個區域，很明顯他們早就準備好了這些增援部隊。
13706<-ID->AK12(0)<Speaker>;NPC-Ange(0)||<BIN>99</BIN>:連重裝甲部隊都用上了嗎？+不過是個叛亂機器人據點，有必要這麼大費周章嗎？
13707<-ID->AK12(0);NPC-Ange(0)<Speaker>安潔</Speaker>||<BIN>99</BIN>:這就說明鐵血一定有軍方無論如何都要拿到的東西。+不管怎樣，一旦那些坦克開始推進，就沒有什麼能阻止軍方了。
13708<-ID->AK12(0)<Speaker>;NPC-Ange(0)||<BIN>99</BIN>:但是還要一陣子吧？重裝部隊的部署至少需要三個時間單位。
13709<-ID->AK12(0);NPC-Ange(0)<Speaker>安潔</Speaker>||<BIN>99</BIN>:所以我現在標記了一個通訊中繼站，你們盡快拿下它然後找到新的登錄口，保證我能進一步偵測他們的行動。
13710<-ID->AK12(0)<Speaker>;NPC-Ange(0)||<BIN>99</BIN>:我們需要點時間，給識別訊號提升下偽裝等級。+不過你知道自己接下來能做什麼嗎？
13711<-ID->NPC-Ange(0)<Speaker>安潔</Speaker>||<BIN>99</BIN><黑屏1>:放心吧，有人會告訴我怎麼做。+只不過，她也需要點時間。
13712<-ID->()||<BIN>22</BIN><黑屏2>:……同一時間，16LAB總部。+……帕斯卡在查閱404小隊取回的視頻檔案。
13713<-ID->NPC-Persica(3)<Speaker>帕斯卡</Speaker>||<BIN>22</BIN>:……找到了。+是這個視頻，絕對不會錯。+鐵血研究室最後一份有內容的監控錄像。+也是萊柯生前的……最後一份視頻記錄……
13714<-ID->()||<BIN>22</BIN>:……+…………
13715<-ID->NPC-Persica(3)<Speaker>帕斯卡</Speaker>||<黑屏1><BIN>22</BIN>:萊柯這時……已經被射殺了……+和之前獲得的情報一樣……+……沒有任何新的線索。
13716<-ID->NPC-Lyco(0)<Speaker>帕斯卡</Speaker>||<BIN>9</BIN><黑屏2><黑屏1>:萊柯，你願意告訴我的，真的只剩下這些了嗎……+我不相信現在的局面，就是你想要的結果……+你的理想，你的願望……+還有，伊萊莎……
13717<-ID->帕斯卡()||<BIN>22</BIN><黑屏2>:等等……
13718<-ID->()||<BIN>22</BIN>:……帕斯卡注意到散落在角落的文件。
13719<-ID->NPC-Persica(1)<Speaker>帕斯卡</Speaker>||<BIN>22</BIN>:那個文件是……+報告中沒有顯示的東西！
13720<-ID->()||<BIN>22</BIN>:…………+……帕斯卡啟動了視頻修復程序。+……那份文件是一份報告書，封面顯示著標題。
13721<-ID->NPC-Persica(3)<Speaker>帕斯卡</Speaker>||<BIN>22</BIN>:《第三次歐伽斯系統（B系統）內置重啟報告》……+果然……是這個嗎……
13722<-ID->NPC-Persica(3)<Speaker></Speaker>||<BIN>22</BIN>:……帕斯卡深深吸了口氣。
13723<-ID->()||<BIN>22</BIN>:……滴。+……收到一條加密通訊請求。
13724<-ID->NPC-Havel(0)<Speaker>哈維爾</Speaker><通讯框>||<BIN>22</BIN>:晚上好，帕斯卡，我猜你這時候剛剛醒。
13725<-ID->NPC-Persica(0)<Speaker>帕斯卡</Speaker>;NPC-Havel(0)||<BIN>22</BIN>:我已經一天沒睡了，哈維爾先生。
13726<-ID->NPC-Persica(0);NPC-Havel(0)<Speaker>哈維爾</Speaker>||<BIN>22</BIN>:那我打來的正是時候。
13727<-ID->NPC-Persica(0)<Speaker>帕斯卡</Speaker>;NPC-Havel(0)||<BIN>22</BIN>:……+沒錯，我正好有問題要問你。
13728<-ID->NPC-Persica(0);NPC-Havel(0)<Speaker>哈維爾</Speaker>||<BIN>22</BIN>:這就是我的目的。+我要告訴你一些東西。
13729<-ID->NPC-Persica(0)<Speaker>帕斯卡</Speaker>;NPC-Havel(0)||<BIN>22</BIN>:有關於蝴蝶事件……還有歐伽斯的真相？
13730<-ID->NPC-Havel(0)<Speaker>哈維爾</Speaker>||<BIN>22</BIN><BGM>BGM_Empty</BGM><黑屏1>:我是來告誡你……+不要再挖掘什麼真相了。
