AR15(0)<Speaker>AR15</Speaker>||:最後一名敵人已擊斃。
SOPII(0)<Speaker>SOPII</Speaker><Shake>0.1</Shake>||:哈哈哈哈哈！我的，全是我的！
AR15(0)<Speaker>AR15</Speaker><Shake>0.1</Shake>||:……別拽了，這是我的腿。
M4A1(0)<Speaker>M4A1</Speaker>||:確認任務目標已盡數擊斃，任務完成，請指示。
M16(5)<通讯框><Speaker>M16A1</Speaker>||:做得不錯，M4。
M16(5)<通讯框>;M4A1(0)<Speaker>M4A1</Speaker>||:16姐！+……不，只是初戰而已，還不到能掉以輕心的時候。
M16(5)<通讯框><Speaker>M16A1</Speaker>;M4A1(0)||:帕斯卡小姐的實驗的確需要投入全身心來應對。
M16(5)<通讯框>;M4A1(0)<Speaker>M4A1</Speaker>||:雖然不知道帕斯卡小姐想做什麼，但既然是那個人，一定有什麼遠慮。+希望我們不會讓她失望……
M16(5)<通讯框><Speaker>M16A1</Speaker>;M4A1(0)||:有15和SOP2在，你可以嘗試放鬆點。
M16(5)<通讯框>;M4A1(0)<Speaker>M4A1</Speaker>||:……話說回來，為什麼16姐沒有跟我們一起呢？
M16(5)<通讯框><Speaker>M16A1</Speaker>;M4A1(0)||:我有自己的任務。+何況就算我不在，你也能應付的。
M16(5)<通讯框>;M4A1(0)<Speaker>M4A1</Speaker>||:我只是總有種奇怪的感覺，好像通訊一旦斷開了，16姐也會消失不見……
M16(5)<通讯框><Speaker>M16A1</Speaker>;M4A1(0)||:哈哈，SOP2又跟你講什麼鬼故事了？
M16(5)<通讯框>;M4A1(0)<Speaker>M4A1</Speaker>||:……是我亂想了，我會集中注意力在任務上的。
M16(5)<通讯框><Speaker>M16A1</Speaker>||:別太緊張，我會一直在線上，有什麼事直接聯絡我就行。
M4A1(0)<Speaker>M4A1</Speaker>||:嗯，我明白……
