()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:
()||<黑屏2><BIN>466</BIN>:……+殘存的影像雖然只有一瞬，但那已經足夠。
Erma(6)<Speaker>艾爾瑪</Speaker>||<BGM>GF_21winter_avg_mahaline</BGM>:……所有的虛幻事物必有現實依託，那間房屋就算有變形，但應該能找到些什麼。
()||:透過客廳看向窗外的風景，遠處的河流、河對面的島嶼形狀，艾爾瑪能夠判斷房屋是在耶拉金島的對面。+加上距離涅瓦河口的距離、街區上的店鋪位置、向日葵花叢的朝向……
()||<黑屏1>:很快，艾爾瑪鎖定了一個坐標。
()||<黑屏2><BIN>534</BIN><narrator>:聖彼得堡 夏園
()||<SE1>AVG_engine_speedup</SE1>:咻——一輛輛汽車從艾爾瑪的面前疾馳而過。雖然確實一切都如她所料，但真正站在出現在心智中的那座花園前時，艾爾瑪激動的心情還是難以言喻。
Erma(4)<Speaker>艾爾瑪</Speaker>||:……+這就是記憶裡的那座花園嗎……
()||<SE1>AVG_Cloak_Whoosh</SE1>:警惕地環視四周，確認沒有人注意自己後，艾爾瑪攏了攏斗篷帽，朝著大門走去。+這件斗篷對於艾爾瑪有些過於寬大，但它靜靜躺在人形博覽會倉庫中標記著「艾爾瑪」的箱子裡。+艾爾瑪猜測這或許是屬於某個對自己很重要的人的東西。
Erma(5)<Speaker>艾爾瑪</Speaker>||:到了……
()||:和記憶中不一樣的是，屋前的向日葵有些沒精打采，應該是近日來沒人打理的原因。
NPC-Oldartist(0)<Speaker>？？？</Speaker>||:你是……？
()||<SE1>ClothingUp</SE1>:一個陰郁的老太太拍了拍艾爾瑪的肩膀。
Erma(5)<Speaker>艾爾瑪</Speaker>||:……我是艾爾瑪，這裡應該是我曾經的住處。
Erma(5);NPC-Oldartist(0)<Speaker>老太太</Speaker>||:嗯？我是這裡的管家……+啊，你是幾年前那個租客帶著的人形小姑娘！你主人呢？後來還欠我好幾個月房租都沒有付……+現在這座花園已經被主人收回來了。
Erma(6)<Speaker>艾爾瑪</Speaker>;NPC-Oldartist(0)||:……她失蹤了。
Erma(6);NPC-Oldartist(0)<Speaker>老太太</Speaker>||:哎，沒有主人的人形是很難生存的，你要不要留下來幫我做點活計？
Erma(6)<Speaker>艾爾瑪</Speaker>;NPC-Oldartist(0)||:我會想辦法還清您的債務的……+但是，現在我還在尋找主人，請再寬限一段時間，等我有了線索……
Erma(6);NPC-Oldartist(0)<同时置暗><Speaker></Speaker>||:老太太的眼神稍微柔和了些。
Erma(6);NPC-Oldartist(0)<Speaker>老太太</Speaker>||:哎，算了算了，也不是很多。+你一個沒有主人的人形，也沒什麼錢。
Erma(5)<Speaker>艾爾瑪</Speaker>;NPC-Oldartist(0)||:感謝您的體諒。+您之前說到的債務，能告訴我主人留下的簽名是什麼嗎？
Erma(5);NPC-Oldartist(0)<Speaker>老太太</Speaker>||:我沒記錯的話，你主人留下的姓氏是休謨，他付錢非常小心謹慎，從來都是現金支付。
Erma(5)<Speaker>艾爾瑪</Speaker>;NPC-Oldartist(0)||:謝謝您……+最後想請問下……主人有在房子中留下什麼東西嗎？
Erma(5);NPC-Oldartist(0)<Speaker>老太太</Speaker>||:沒有，什麼都沒有，反常地乾淨整潔，像是請了專人來打掃過。
Erma(6)<Speaker>艾爾瑪</Speaker>||:……+明白了……
()||<黑屏1>:在反覆謝過老太太后，艾爾瑪離開了小屋。
()||<黑屏2><BIN>534</BIN><Night><BGM>BGM_Empty</BGM><SE1>AVG_House</SE1>:……艾爾瑪回到了自己的心智空間，那裡已經從簡單的「夏園」系統展開成了一座真正的花園。+大門門上掛著一把鎖。
Erma(0)<Speaker>艾爾瑪</Speaker>||:……+艾爾瑪·休謨。
()||<SE1>AVG_File_Put</SE1><SE1>AVG_20Winter_Gate_Close</SE1>:銅鎖掉落，大門應聲而開。
()||<SE1>AVG_wind_grass</SE1>:和現實中的花園不太一樣，出現在艾爾瑪心智中的花園正開放著各種鮮艷的花，晚風中暗香浮動。+踏上綠草鋪就的小徑，艾爾瑪走到了擺放著茶點的園中小桌前，上面放著的咖啡剛喝了一半。
Erma(1)<Speaker>艾爾瑪</Speaker>||:……我應該試試其他的錨點。
()||<SE1>ClothingUp</SE1>:艾爾瑪伸開左手，裡面安靜地放著一堆鑰匙。+這是她輸入素體上所有的加密文字後，它們在這裡化成的形態。+艾爾瑪隨機挑起了一把鑰匙，花園中隨即浮出了一間房，門口的銘牌上寫著幾個字——+「柯爾特快車」。
()||<黑屏1>:
