13823<-ID->()||<BGM>BGM_Sneak</BGM><BIN>22</BIN>:…………
13824<-ID->NPC-Persica(3)<Speaker>帕斯卡</Speaker>||<BIN>22</BIN>:通訊正在恢復……+不知道是個好消息？還是壞消息……+而且軍方……有沒有得到主腦呢……+至少安潔……不要出事啊……
13825<-ID->NPC-Persica(3);NPC-Ange(0)<Speaker>安潔</Speaker><通讯框>||<BIN>22</BIN><震屏>:帕斯卡——+喂，帕斯卡！
13826<-ID->NPC-Persica(1)<Speaker>帕斯卡</Speaker>;NPC-Ange(0)||<BIN>22</BIN>:安潔！你怎麼樣了！
13827<-ID->NPC-Persica(1);NPC-Ange(0)<Speaker>安潔</Speaker>||<BIN>22</BIN>:我？我沒事啊，大家都沒事。+我剛剛利用臨時借用的人形搞定了一個軍方通訊點，然後躲到了裡面。
13828<-ID->NPC-Persica(3)<Speaker>帕斯卡</Speaker>;NPC-Ange(0)||<BIN>22</BIN>:呼……+剛才到底是怎麼回事呢……還有……
13829<-ID->NPC-Persica(3);NPC-Ange(0)<Speaker>安潔</Speaker>||<BIN>22</BIN>:好消息，軍方失敗了。
13830<-ID->NPC-Persica(1)<Speaker>帕斯卡</Speaker>;NPC-Ange(0)||<BIN>22</BIN>:誒？
13831<-ID->NPC-Persica(1);NPC-Ange(0)<Speaker>安潔</Speaker>||<BIN>22</BIN>:根據我竊聽到的消息，軍方入侵主腦的計劃沒有奏效。+雖然原因不明，不過一定發生了意外狀況。
13832<-ID->NPC-Persica(1)<Speaker>帕斯卡</Speaker>;NPC-Ange(0)||<BIN>22</BIN>:和剛才的通訊中斷有關嗎？
13833<-ID->NPC-Persica(1);NPC-Ange(0)<Speaker>安潔</Speaker>||<BIN>22</BIN>:不知道，暫時也不重要。+關鍵是軍方下一步的行動……
13834<-ID->NPC-Persica(3)<Speaker>帕斯卡</Speaker>;NPC-Ange(0)||<BIN>22</BIN>:下一步？抱歉，我暫時還想不到……
13835<-ID->NPC-Persica(3);NPC-Ange(0)<Speaker>安潔</Speaker>||<BIN>22</BIN>:不，軍方下一步的行動，不是顯而易見嗎？
13836<-ID->NPC-Persica(3)<Speaker>帕斯卡</Speaker>;NPC-Ange(0)||<BIN>22</BIN>:你說什麼……
13837<-ID->NPC-Persica(3);NPC-Ange(0)<Speaker></Speaker></Speaker>||<BIN>22</BIN>:……安潔的頻道裡傳來轟隆隆的聲音。
13838<-ID->NPC-Persica(3);NPC-Ange(0)<Speaker>安潔</Speaker>||<BIN>22</BIN>:當然就是……外圍的坦克部隊了。+你聽到聲音了吧，它們正從山腳下推進。+坦克部隊一旦踏進來，我的這些輕裝人形根本沒法阻止他們一步。
13839<-ID->NPC-Persica(3)<Speaker>帕斯卡</Speaker>;NPC-Ange(0)||<BIN>22</BIN>:這就不是我能負責的事情了。+但是一定是剛才的入侵行動中，軍方已經知道了主腦的位置，然後準備物理搶奪。
13840<-ID->NPC-Persica(3);NPC-Ange(0)<Speaker>安潔</Speaker>||<BIN>22</BIN>:沒錯，所以我們必須搶在它們前面，依靠……
13841<-ID->NPC-Persica(3)<Speaker>帕斯卡</Speaker>;NPC-Ange(0)||<BIN>22</BIN>:……M4A1，你說得對，你是個軍人而我是研究員。+軍人為了任務，可以犧牲一切……
13842<-ID->NPC-Persica(3);NPC-Ange(0)<Speaker>安潔</Speaker>||<BIN>22</BIN>:喂，別把我描述得那麼冷血嘛，我可是很喜歡你給我的那幾個人形的。+一切還在我預期之中，我會控制好的。+我先讓404去尋找主腦位置，你也要一直為我提供支援哦。
13843<-ID->NPC-Persica(3)<Speaker>帕斯卡</Speaker>||<BIN>22</BIN>:我的咖啡已經準備好了，就差你的運氣了，安潔。
13844<-ID->()||<BIN>22</BIN><黑屏1>:……通訊結束。
