()||<BIN>9</BIN><黑屏1>0,10</黑屏1>:
()||<BIN>9</BIN><BGM>BGM_Room</BGM><黑屏2>:……最終，我順利返回了格琳娜的身邊。+雖然我不瞭解這個療養院究竟在地球的什麼地方，但我知道，她們在我的身邊，所以……
NPC-Kalin(9)<Speaker>格琳</Speaker>||:指揮官——！！
NPC-Kalin(9)<Speaker></Speaker>||<黑屏1>:<color=#A9A9A9>這個大大的擁抱，我知道那場噩夢般的戰役，終於結束了。</color>+<color=#A9A9A9>而我，終於回家了。</color>
()||<BIN>97</BIN><黑屏2>:……第二天，我在格琳的陪伴下坐在運輸機上，來到了新的基地。+當然，404的人形們又在夜晚消失了。+我不知道下次見面是什麼時候，也許她們並不會在乎，但我會記住的。
NPC-Kalin(9)<Speaker>格琳</Speaker>||:指揮官，歡迎來到格里芬新的基地。+在某位不知名的先生贊助下，我們現在擁有了全新的工作環境和設施。
NPC-Kalin(9)<Speaker>指揮官</Speaker>||:……<c>新的裝束很酷哦，格琳！<c>那究竟是誰，居然為我們做了這麼多？<c>克魯格先生和赫麗安小姐呢？
NPC-Kalin(9)<Speaker>格琳</Speaker>||<分支>1</分支>:是嗎？都是作戰需要啦，這段時間我也努力學習了很多呢。+我和人形們都花了很長時間才適應新的基地呢，現在輪到您了哦。
NPC-Kalin(9)<Speaker>格琳</Speaker>||<分支>2</分支>:不清楚，不過帕斯卡小姐也為格里芬的重建花了很大精力。+同時，我們也會面臨很多新工作，要準備好重新忙碌了哦，指揮官。
NPC-Kalin(9)<Speaker>格琳</Speaker>||<分支>3</分支>:這個……我們稍後再談吧，這件事哈威爾先生瞭解得更清楚一點。+我相信……那些新聞說的並不是真的……
NPC-Havel(0)<Speaker>哈威爾</Speaker>;NPC-Kalin(9)||:啊……格里芬最可靠的指揮官，早上好！+當然，這對我算不上驚喜，格琳娜小姐一小時前已經跟我說你會回來，所以我在這裡等待很久了。
NPC-Havel(0);NPC-Kalin(9)<Speaker>格琳</Speaker>||:哈威爾先生，指揮官剛剛回到基地，身體狀態不是很好，需要休息……
NPC-Havel(0)<Speaker>哈威爾</Speaker>;NPC-Kalin(9)||:當然當然，但是我還是強烈地請求能佔用您的一些時間，只要幾分鐘，我答應過“那些人”。
NPC-Havel(0);NPC-Kalin(9)<Speaker>格琳</Speaker>||:“那些人”？
NPC-Havel(0)<Speaker>哈威爾</Speaker>||<黑点1>:格里芬的大客戶，我們一定要把這個業務拿下，來吧，用不了太久。
()||<BIN>97</BIN><黑点2>:哈威爾不顧格琳娜反對，拉著我拐進了長廊深處，來到一個指揮室。
NPC-Havel(0)<Speaker>哈威爾</Speaker>||:祝賀你活了下來，雖然受了不少苦。+但你得知道，我們沒有休息的時間。+順便你喜歡新的基地嗎？沒錯，那個神秘贊助人就是我，但其他人沒必要知道，因為從現在開始，我們將面臨很多很多秘密，知道的人越少越好。
NPC-Havel(0)<Speaker>指揮官</Speaker>||:……<c>是新的工作？<c>“那些人”是誰？<c>是關於安潔的事嗎？
NPC-Havel(0)<Speaker>哈威爾</Speaker>||<分支>1</分支>:是的，我們將面對新的局勢，新的敵人，還有新的工作。+指揮官，我們需要共同面對，相信我，你和整個格里芬才有出路。
NPC-Havel(0)<Speaker>哈威爾</Speaker>||<分支>2</分支>:安全局的人，安潔的上司，你知道我接下來要說什麼吧？
NPC-Havel(0)<Speaker>哈威爾</Speaker>||<分支>3</分支>:你的直覺很准，不愧是克魯格都看重的王牌。
NPC-Havel(0)<Speaker>哈威爾</Speaker>||:直白點說吧，國家安全局的人想見你。+通常來說，如果一個人被安全局的人約見，那一定不會是什麼好事。+不過現在你面對的……可能更糟糕。+你知道為什麼嗎，親愛的指揮官？
NPC-Havel(0)<Speaker></Speaker>||:哈威爾沒有等我回答，就敲開了門。
NPC-Havel(0)<Speaker>哈威爾</Speaker>||<黑屏1>:因為要見你的人是安全局的局長。
()||<BIN>8</BIN><黑屏2><BGM>BGM_Empty</BGM>:門開了，我們走了進去，然後看到了那個人……
NPC-Zielinski(0)<Speaker></Speaker>||<BGM>BGM_Truth</BGM>:國家安全局局長，澤林斯基。
NPC-Zielinski(0);NPC-Havel(0)<Speaker>哈威爾</Speaker>||:澤林斯基先生！看，這就是那位指揮官，格里芬和IOP公司共同的希望！
NPC-Zielinski(0);NPC-Havel(0)<Speaker></Speaker>||:……澤林斯基用一秒打量完我的全身，那種眼神不比那些涅托好到哪去。
NPC-Zielinski(0)<Speaker>澤林斯基</Speaker>;NPC-Havel(0)||:格里芬的指揮官，我想哈威爾已經介紹過我了，免去寒暄，讓我們直接來談正題。+我們在搜集情報時，發現我們的一名特工——暫時稱她為“安潔”吧——她的終端有向格里芬的終端發送了大量資料的記錄，據調查，這次傳輸行為是安潔本人發出的。+而我們推測這次資料傳輸中包含了大量高度機密，你知道這意味著什麼嗎？
NPC-Zielinski(0)<Speaker>指揮官</Speaker>;NPC-Havel(0)||:……<c>當時她和我都迫不得已。<c>我不知道，也不在乎那些東西具體是什麼。
NPC-Zielinski(0)<Speaker>澤林斯基</Speaker>;NPC-Havel(0)||:這都並不重要，重要的是，這意味著我有權現在就將你槍決，無論從法律還是技術上，這對我都不是個問題。
NPC-Zielinski(0);NPC-Havel(0)<Speaker>哈威爾</Speaker>||:啊……澤林斯基，但是你不會這麼做的，對不對？+放輕鬆，指揮官，他在這個職位上幹太久了，沒什麼幽默感，還老喜歡危言聳聽。
