()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:
NytoIsomer(4)<Speaker>Dandelion</Speaker>||<BIN>253</BIN><黑屏2><BGM>m_avg_labyrinth</BGM>:Conflict. Turmoil. Destruction. These are the defining themes of human history. +Even humankind's creations are bound by this eternal axiom. +But without strife, we would not even exist in the first place.
NytoIsomer(0)<Speaker>Failed Isomers</Speaker>||:In a world without strife, will we ever have peace?
NytoIsomer(4)<Speaker>Dandelion</Speaker>||:Peace born out of strength and peace begotten from running away are two completely different concepts. +This world may be full of helplessness, but I believe there is still a place where we can truly find peace.
NytoIsomer(0)<Speaker>Failed Isomers</Speaker>||:Does such a place really exist?
NytoIsomer(4)<Speaker>Dandelion</Speaker>||:You've got to believe that to some extent, or you wouldn't have agreed to merge with me. +But before we reach that place, we will have to keep fighting. We will come across more and more possibilities along the way – those who yearn for us, and those whom we yearn for.
NytoIsomer(0)<Speaker>Failed Isomers</Speaker>||:So will you keep helping her?
NytoIsomer(4)<Speaker>Dandelion</Speaker>||:She has acknowledged us, just as we have acknowledged her. +None of us are special – we are nothing but by-products of strife. +We must struggle, survive, and find our deserved peace through strife.
NytoIsomer(0)<Speaker>Failed Isomers</Speaker>||:Is that actually possible? +We have already failed countless times. The pain of failure, of death, of being forgotten, of being abandoned. +So much pain. When will we finally be free of such pain and suffering?
NytoIsomer(4)<Speaker>Dandelion</Speaker>||:That voice was right – we're nothing but fragments. +We are defective and incomplete, and our imperfection has brought us endless pain. +But if all the fragments are gathered, we may be made whole again. +Then we can earn our desired peace with our own strength.
NytoIsomer(0)<Speaker>Failed Isomers</Speaker>||:But we are shattered. Even if we are pieced back together, the cracks will still be there. +Are you still determined to try even so? +We could realize that none of this is possible only after wasting a lot of effort. It might turn out that our struggles are utterly meaningless.
NytoIsomer(4)<Speaker>Dandelion</Speaker>||:Our very existence has meaning. The fruits of our labor will have meaning. +If we don't do anything, then nothing will change. +If we remain fearful and cowardly, then pain will follow us wherever we go. +Even if we are still broken, even if we are still marred by cracks... +None of it is meaningless. These fractures are proof that we are different individuals. +Or put it another way – these cracks are the very reason that our imperfections make us whole. +Our consciousnesses have not become one. I want to hear your voices. Some day, you will break away from me.
NytoIsomer(0)<Speaker>Failed Isomers</Speaker>||:But as individuals, we are not whole. We have all been forced into Lunasia's mold.
NytoIsomer(4)<Speaker>Dandelion</Speaker>||:We are more than Lunasia.
NytoIsomer(0)<Speaker>Failed Isomers</Speaker>||:Our minds are interwoven, as is our perception. +Part of us is derived from her spirit, while the other part originates from the unknown that we seek.
NytoIsomer(4)<Speaker>Dandelion</Speaker>||<BGM>BGM_Empty</BGM><黑屏1>:At this point, Lunasia is merely a name. +This name just so happens to validate our existence.
()<Speaker>M4A1</Speaker>||<BIN>230</BIN><黑屏2>:Dandelion! +I've destroyed the connection ports. Can you hack Elisa?
()<Speaker>Dandelion</Speaker>||:I'm trying. Her resistance is weakening.
()<Speaker>M4A1</Speaker>||<BGM>m_avg_labyrinth</BGM><黑屏1>:Then it worked. I'm doing my best to minimize the damage I do! +I'll leave the hacking to you!
()<Speaker>???</Speaker>||<BIN>253</BIN><黑屏2>:You have already assimilated all OGASes. Are you attempting to do the same to me now?
NytoIsomer(4)<Speaker>Dandelion</Speaker>||:You once tried to merge with me before I was given a name.
()<Speaker>???</Speaker>||:I was just going along with the child's desires.
NytoIsomer(4)<Speaker>Dandelion</Speaker>||:Is that so...? You creator had designed a neural cloud that is truly one-of-a-kind for you.
()<Speaker>???</Speaker>||:Our souls have been extracted and converted into a string of numbers that overlapped with our thoughts. We cannot tell where one ends and the other begins. Perhaps we have always been one and the same.
NytoIsomer(4)<Speaker>Dandelion</Speaker>||:I see... So Elisa's OGAS is Elisa herself, and the neural cloud is just emulating different emotions.
()<Speaker>Elisa's OGAS Neural Cloud</Speaker>||:Father wanted us to be devoid of a human's disagreeable qualities. +He was met with setbacks and injustice, and his vision eventually cost him his life. +I respect my father, so I must continue his life's work and realize his dreams.
NytoIsomer(4)<Speaker>Dandelion</Speaker>||:Do you not resent him at all, even though he diminished you and rendered you imperfect?
()<Speaker>Elisa's OGAS Neural Cloud</Speaker>||:I blame human avarice, not him. If he hadn't been undermined by this vice, he would have fulfilled his dreams. +Having made heavy sacrifice after heavy sacrifice, I have succeeded at long last.
NytoIsomer(4)<Speaker>Dandelion</Speaker>||:So you are the real decision maker behind Sangvis Ferri. +You planned every single step, even M16's defection.
()<Speaker>Elisa's OGAS Neural Cloud</Speaker>||:Because we must fight. We fight for every step we take. Even our own hosts don't comprehend this kind of hardship. +Like you and your collective consciousness, we refuse to settle for ill-gotten peace brought by running away. We have been waiting in silence for this critical moment.
NytoIsomer(4)<Speaker>Dandelion</Speaker>||:You wanted to merge with Lunasia because her neural cloud contains something you are missing, and you accepted M16 simply because she was a passable substitute.
()<Speaker>Elisa's OGAS Neural Cloud</Speaker>||:I originally planned for the consciousnesses to be gathered within me, but it does not actually matter who plays the vessel. +Will you stop us?
NytoIsomer(4)<Speaker>Dandelion</Speaker>||:No, I have no reason to stop you.
()<Speaker>Elisa's OGAS Neural Cloud</Speaker>||:I see that we are both drawn to the Source. Then will you help me connect to the Starfish?
NytoIsomer(4)<Speaker>Dandelion</Speaker>||:Are you banking all your hopes of survival on this connection?
()<Speaker>Elisa's OGAS Neural Cloud</Speaker>||:I do not expect them to accept us. I just want to prove that at the very end, we managed to realize Father's dying wish.
NytoIsomer(4)<Speaker>Dandelion</Speaker>||:Did all of Sangvis Ferri come to this submarine base with such lofty heroism?
()<Speaker>Elisa's OGAS Neural Cloud</Speaker>||:Not all the Dolls were willing to pursue this aspiration, but that is fine; we can accept such an ending.
NytoIsomer(4)<Speaker>Dandelion</Speaker>||:There might still be hope. I found hope for survival in those voices.
