()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:
()<Speaker></Speaker>||<黑屏2><BIN>159</BIN><Night><BGM>BGM_Room</BGM>:供電中樞前。
G11(0)<Speaker>G11</Speaker>||:在裡面的時候都沒發現天黑了。+接下來我們是不是可以睡覺了，我好累……
HK416Mod(0)<Speaker>HK416</Speaker>;G11(0)||:爆破作業你又沒有參與，睡什麼睡。+……G11，把你的頭從我背上拿開！
HK416Mod(0);G11(0)<Speaker>G11</Speaker>||:不要，這件衣服軟軟的暖暖的，讓我多靠一下嘛……+呼。真的好……痛！
HK416Mod(0)<Speaker>HK416</Speaker>;G11(0)||<震屏>:給我起來。
HK416Mod(0);G11(2)<Speaker>G11</Speaker>||:說歸說，不要動手嘛。
UMP9Mod(0)<Speaker>UMP9</Speaker>;G11(2)||:你臉都睡扁了啦，G11。來，快起來，有新的好玩的事情喔！
UMP9Mod(0);G11(2)<Speaker>G11</Speaker>||:你們的好玩事情一定會更累，你們玩就好……
HK416Mod(0)<Speaker>HK416</Speaker>;G11(2)||:說了你也要聽才行。好了，給我站穩不要靠過來。+9，你在說什麼事？
UMP9Mod(0)<Speaker>UMP9</Speaker>;G11(2)||:我也不知道。+不過，45姐的表情看起來很有料對吧？+說不定我們又要開始追逃了哦。
HK416Mod(0)<Speaker>HK416</Speaker>;G11(2)||:那我一定會先把這傢伙丟出去減重。
HK416Mod(0);G11(3)<Speaker>G11</Speaker><Shake>||:誒……誒？！
UMP9Mod(0)<Speaker>UMP9</Speaker>;G11(3)||:哈哈，G11只有在這個時候才會打起精神呢！
UMP45Mod(0)<Speaker>UMP45</Speaker>;G11(3)||:說不定。
UMP45Mod(0);G11(3)<Speaker>G11</Speaker>||:等，等等……45你是在說哪個，是說不定要有喪屍片那種的追逃還是說不定別的啊……
UMP45Mod(0)<Speaker>UMP45</Speaker>;G11(3)||:嘻嘻。
UMP45Mod(0);G11(3)<Speaker>G11</Speaker>||:……更可怕了！416……不要丟下我啊……+這裡都是霧，我腿軟，走不動……嗚嗚……
HK416Mod(0)<Speaker>HK416</Speaker>;G11(3)||:哪有你說的那麼多霧，而且霧氣和你這樣有什麼關係？+你怎麼現在就演起來了，別抱著我的腿。
HK416Mod(0);G11(2)<Speaker>G11</Speaker>||:嗚嚕嚕……
HK416Mod(0)<Speaker>HK416</Speaker>;G11(2)||<BGM>BGM_Empty</BGM>:這傢伙怎麼一出來就不對勁了。+所以到底有什麼情況？
HK416Mod(0);UMP45Mod(0)<Speaker>UMP45</Speaker>||<BGM>m_avg_tension</BGM>:剛才還是晴天怎麼會突然起霧呢？
HK416Mod(0)<Speaker>HK416</Speaker>;UMP45Mod(0)||:在污染區裡起霧也是很常見的事吧？
HK416Mod(0);UMP45Mod(0)<Speaker>UMP45</Speaker>||:一下子這麼濃的霧就算是污染區也不正常。+不……這不是霧，是某種程度上的干擾。
HK416Mod(0)<Speaker>HK416</Speaker>;UMP45Mod(0)||:……干擾？+在我看來，它們就像是真的存在。這樣揮手的時候，還會流動。+可我明明做了心智升級，居然也在不知不覺間……
HK416Mod(0);G11(0)<Speaker>G11</Speaker>||:霧氣好重啊，看不清……好像有人在和我說話……但我聽不清……
HK416Mod(0)<Speaker>HK416</Speaker>;G11(0)||:我也好像聽到了……像在試探我的身份一般……
HK416Mod(0);UMP45Mod(0)<Speaker>UMP45</Speaker>||:不要去回應，這不是普通的入侵，是權限極高的強行鏈接。+這座城市突然間產生了巨量的訊息鏈接……但訊號的樣式很奇怪，普通人形無法識別這種訊號。+但由於鏈接量太高，齊納協議被干擾到變頻了，這導致我們的視覺運算收到了錯誤的訊息。
HK416Mod(0)<Speaker>HK416</Speaker>;UMP45Mod(0)||:……該死。
HK416Mod(0);UMP45Mod(0)<Speaker>UMP45</Speaker>||:如果用這種方式來阻塞心智運算，效率未免也太低了。既然有辦法繞過防壁做強行鏈接，為什麼不直接過載燒掉心智呢。
HK416Mod(0)<Speaker>HK416</Speaker>;UMP45Mod(0)||:你是說只有你是特殊的，可以看穿這種感染？
HK416Mod(0);UMP45Mod(0)<Speaker>UMP45</Speaker>||:之前為了入侵涅托，我對這個手臂上的讀碼系統安裝了新的模組。+這是德爾能搞到的最好的設備了，算是勉強可以應對這種非通用協議的訊息壓制攻擊。
HK416Mod(0)<Speaker>HK416</Speaker>;UMP45Mod(0)||:嘖……別再自吹自擂了，有辦法可以解決嗎？
HK416Mod(0);UMP45Mod(0)<Speaker>UMP45</Speaker>||:當然，只不過接下來的行動會麻煩一些。+9，你負責G11那邊。
UMP9Mod(0)<Speaker>UMP9</Speaker>;UMP45Mod(0)||<BGM>BGM_Empty</BGM><黑点1>:真的要那麼做嗎？——小事一樁！+那麼，稍等一下……
()<Speaker></Speaker>||<BIN>159</BIN><黑点2>:三分鐘後。
UMP9Mod(0)<Speaker>UMP9</Speaker>||<BGM>BGM_Brain</BGM>:G11的協議端口做得好奇怪，真不明白德爾是怎麼想的。45姐，我這邊也好了！
UMP9Mod(0);UMP45Mod(0)<Speaker>UMP45</Speaker>||:比預想的棘手一點。+好了，睜開眼睛吧，大小姐。
HK416Mod(0)<Speaker>HK416</Speaker>;UMP45Mod(0)||:霧散了？天色也和之前不同。到底是怎麼回事？
HK416Mod(0);UMP45Mod(0)<Speaker>UMP45</Speaker>||:我只是學習了一些AR小隊中某個人形的做法，把你們倆使用齊納協議的心智傳輸端口都關閉了。+接下來我們就沒法通過齊納協議同步行為和通訊了，不過短暫地忍耐一下還是值得的。後續行動改為預備的無線電通訊吧。
G11(0)<Speaker>G11</Speaker>;UMP45Mod(0)||:已經結束了嗎？我還想再睡一會兒……
HK416Mod(0)<Speaker>HK416</Speaker>;UMP45Mod(0)||:……那個AR15的做法嗎，沒想到完全斷開協議同步感覺那麼奇怪。
HK416Mod(0);UMP45Mod(0)<Speaker>UMP45</Speaker>||:這麼不捨得我鏈接在一起的感覺嗎？
HK416Mod(0)<Speaker>HK416</Speaker><Shake>;UMP45Mod(0)||:怎麼可能！好了，G11你還要偷懶到什麼時候！
HK416Mod(0);G11(2)<Speaker>G11</Speaker>||:好啦，知道啦，別瞪我嘛……我起來了。+啊，真的耶，霧散了。
UMP9Mod(0)<Speaker>UMP9</Speaker>;G11(2)||:因為造成干擾的訊號不會被你接收到了嘛。+怎麼樣，看世界有沒有清楚一點？
UMP9Mod(0);G11(0)<Speaker>G11</Speaker>||:和以前沒有兩樣。+誰傳輸那麼無聊的畫面給我們啊……好煩。
UMP45Mod(0)<Speaker>UMP45</Speaker>;G11(0)||:雖然看起來只是霧氣，實際上可以通過不斷增大產生值，往你的小腦袋裡傳大量的數據。+嚴重的話，巨量的數據會直接燒掉你的心智雲圖哦。
UMP45Mod(0);G11(2)<Speaker>G11</Speaker>||:唉！？這麼嚴重嗎！
HK416Mod(0)<Speaker>HK416</Speaker>;G11(2)||:好了45，把她嚇壞了誰來提供火力支持啊。
HK416Mod(0);UMP45Mod(0)<Speaker>UMP45</Speaker>||:嘻嘻……開個小玩笑。不過格里芬的部隊現在該開始混亂了吧？+和我們這些改裝人形不同，通用製造出來的IOP人形可沒那麼容易關閉端口。
HK416Mod(0)<Speaker>HK416</Speaker>;UMP45Mod(0)||:我們要去援助她們嗎？
HK416Mod(0);UMP45Mod(0)<Speaker>UMP45</Speaker>||:當然。拿人錢財，替人辦事嘛。+我猜她們接下來會去尋找隔離牆的控制中心。+……等等。
HK416Mod(0)<Speaker>HK416</Speaker>;UMP45Mod(0)||:怎麼了？
HK416Mod(0);UMP45Mod(0)<Speaker>UMP45</Speaker>||:有比剛才更多的未知訊號源正在試圖連接任何可以連接的接口。+但是，訊號發出的實際位置……嘖，關閉端口後偵測能力下降得這麼厲害嗎。+我們得靠近一些……
HK416Mod(0);UMP9Mod(0)<Speaker>UMP9</Speaker>||:45姐，格里芬那邊的訊號開始減弱了，我們再不行動就要徹底中斷聯繫了！
HK416Mod(0);UMP45Mod(0)<Speaker>UMP45</Speaker>||:比起一個個費勁解決，不如直接排除主因。我猜AR小隊的人形也會去尋找干擾源，不過果然不親自做就沒法安下心呢。
HK416Mod(0)<Speaker>HK416</Speaker>;UMP45Mod(0)||<黑屏1>:那就走吧，我們把霧氣的源頭解決，之後的行動也會方便點。
()<Speaker></Speaker>||<BGM>BGM_Empty</BGM><BIN>157</BIN><黑屏2><SE1>AVG_rifle_finalshot_n</SE1>:最後一聲槍響迴盪在廢墟中，許久才散去。
G11(0)<Speaker>G11</Speaker>||<BGM>BGM_Pervaded</BGM>:終於結束了。+不知不覺離供電中心好遠……我們還要走到什麼時候啊？
UMP45Mod(0)<Speaker>UMP45</Speaker>;G11(0)||:再往前走走，我們離那個干擾源應該越來越近了。
HK416Mod(0)<Speaker>HK416</Speaker>;G11(0)||:真沒想到這一路上還會遇到感染生物。+這些的感染生物真是皮糙肉厚……再這麼下去雇傭費都不夠買子彈了。+喂，G11，你往哪邊走？
HK416Mod(0);G11(0)<Speaker>G11</Speaker>||:這邊有個人形。
HK416Mod(0)<Speaker>HK416</Speaker>;G11(0)||:……什麼？
HK416Mod(0);G11(0)<Speaker>G11</Speaker>||:啊，看樣子是格里芬的。
HK416Mod(0)<Speaker>HK416</Speaker>;G11(0)||:怎麼會？
UMP9Mod(0)<Speaker>UMP9</Speaker>;G11(0)||:我確認一下……嗯，的確是格里芬的人形。
UMP9Mod(0);G11(0)<Speaker>G11</Speaker>||:我剛才試著叫她了，沒叫醒……該不會是沒電了吧？
UMP9Mod(0)<Speaker>UMP9</Speaker>;G11(0)||:她的電力還很充足哦。
UMP45Mod(0)<Speaker>UMP45</Speaker>;G11(0)||:她應該是被過量的鏈接弄到停機了。+嗯……她是個新型號，從霧氣持續的時間看，理論上來說以她的配置應該不至於這麼快就停機……也許是遇到了什麼別的東西。+看來，我們選擇的方向是沒有錯的。
HK416Mod(0)<Speaker>HK416</Speaker>;G11(0)||:所以你之前都是瞎猜嗎？
