()||<BIN>71</BIN><BGM>BGM_Danger</BGM><黑屏2>:…………
HK416(3)<Speaker>HK416</Speaker>||:這傢伙也太難纏了！
UMP9(4)<Speaker>UMP9</Speaker>||:沒有人有辦法擊穿它的防禦嗎……？！
UMP45(2)<Speaker>UMP45</Speaker>||:安潔！代理人比預期來的強大，我們需要增援——
NPC-Ange(0)<Speaker>安潔莉婭</Speaker><通讯框>||:能拖得住主腦嗎？等我過——
NPC-Ange(0)<Speaker></Speaker>||:滋滋——
NPC-Ange(0)<Speaker>？？</Speaker>||:安潔，我要感謝你又一次幫助我完成了任務。
NPC-Ange(0)<Speaker>安潔莉婭</Speaker>||:葉戈爾……！為什麼加密頻道會……！
NPC-Ange(0);NPC-Yegor(2)<Speaker>葉戈爾</Speaker><通讯框>||:你的訊息黑域的手法還是那麼粗糙，我之前就說過這會讓你丟掉小命。
NPC-Ange(0)<Speaker>安潔莉婭</Speaker>;NPC-Yegor(2)||:什麼時候被竊聽的……！？
NPC-Ange(0);NPC-Yegor(2)<Speaker>葉戈爾</Speaker>||:就在剛才，我並沒有興趣聽你們說的廢話。+我很驚訝你竟然兩次都能活下來，不過你身體可以換義肢的部分已經不多了，我勸你這次罷手吧。
NPC-Ange(0)<Speaker>安潔莉婭</Speaker>;NPC-Yegor(2)||:知道為什麼我每次都沒死嗎？+因為你每次都這麼過於自信。
NPC-Ange(0);NPC-Yegor(2)<Speaker>葉戈爾</Speaker>||:真是嘴硬，開始進攻。
AR15Mod(5)<Speaker></Speaker>()||<震屏><SE1>Explode</SE1>:…………！
AR15Mod(5)<Speaker>AR15</Speaker>||:怎麼了？！
HK416(3)<Speaker>HK416</Speaker>||:是裝甲部隊！軍方的坦克！
M4A1Mod(4)<Speaker>M4A1</Speaker>||:………+葉戈爾……！
NPC-Ange(0)<Speaker>安潔莉婭</Speaker><通讯框>||:45！現在情況怎麼樣！
NPC-Ange(0);UMP45(2)<Speaker>UMP45</Speaker>||:咳咳……我們沒法擊穿坦克！他們把我們和主腦分割開了！敵人攻勢猛烈！
NPC-Ange(0)<Speaker>安潔莉婭</Speaker>;UMP45(2)||:不管你們用什麼辦法！不惜一切代價絕對不能讓他們抓住主腦！+聽到了嗎！我會帶著格里芬的支援馬上到達！
NPC-Ange(0);UMP45(2)<Speaker>UMP45</Speaker>||:你這簡直就是要求綿羊去說服餓狼不要吃肉一樣……
M4A1Mod(4)<Speaker>M4A1</Speaker>;UMP45(2)||<黑屏1>:不要抱怨了，我們得想辦法反擊！
