()||<BIN>72</BIN><BGM>BGM_Room</BGM>:…………作戰結束。
NPC-Seele(0)<Speaker>希爾</Speaker><通讯框>||:好了，已經為全員升級完協議了。+新的介面可以使用同一條線路在齊納網路中進行同步，現在大家應該能互相看到對方的信號了。
NPC-Seele(0);G11(3)<Speaker>G11</Speaker><通讯框>||:嗚哇！這是什麼地方！？
HK416(0)<Speaker>HK416</Speaker><通讯框>;G11(3)||:這就是在二級意識平層看到的齊納網路嗎……
HK416(0);UMP9(0)<Speaker>UMP9</Speaker><通讯框>||:嗯……11和416以前都沒有參加電子戰的功能模組，這是第一次用模擬信號潛入齊納網路吧？
HK416(0)<Speaker>HK416</Speaker>;UMP9(0)||:哼，有意思……
HK416(0);NPC-Seele(0)<Speaker>希爾</Speaker><通讯框>||:新的協定可以使用其他人形的電腦能來提升模擬信號的速度。+45小姐是隊長的話，還是由您來控制信號命令吧。
HK416(0);UMP45(0)<Speaker>UMP45</Speaker><通讯框>||:可以嗎？那麼就算在電子網路裡，大家也多多關照囉。
HK416(0)<Speaker>HK416</Speaker>;UMP45(0)||:討厭死了，可以拒絕嗎。
HK416(0);G11(0)<Speaker>G11</Speaker><通讯框>||:這麼說的話，我的意識是在網路中，但是身體還在維護艙內……+那我現在到底是睡著了還是清醒呢……
UMP9(0)<Speaker>UMP9</Speaker><通讯框>;G11(0)||:唔，看來電子戰這個東西，對G11的小腦瓜來說太複雜了呢。
UMP9(0);UMP45(0)<Speaker>UMP45</Speaker><通讯框>||:就當是做夢吧，不過不努力一點的話，可能永遠醒不過來哦。
NPC-Deele(0)<Speaker>德爾</Speaker><通讯框>;UMP45(0)||:你們在閒聊什麼啊……看起來對新的介面協定已經完全適應了呢。+再過一會主人就該發來通訊了，我會馬上把你們都抽離出來的。
NPC-Deele(0);UMP45(0)<Speaker>UMP45</Speaker>||:那我們要儘快了，9，快點幫11和416適應在齊納網路裡漫遊的感覺吧。
UMP9(3)<Speaker>UMP9</Speaker><通讯框>;UMP45(0)||<黑屏1>:好嘞！包在我身上吧！
