()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:
()||<黑屏2><BIN>356</BIN><narrator>:莫斯科 安全屋
()||<BGM>GF_2022_Summer_AVG_1</BGM>:费了几桶水泥溶解剂后，玛姬终于成功把凯瑟琳从桶里捞了出来。
NPC-Scalper(3)<Speaker>凯瑟琳</Speaker>||:呜……感觉自己皮肤像砂纸一样……
NPC-Scalper(3);ColtWalker(1)<Speaker>玛姬</Speaker>||:能完整出来不错了。
NPC-Scalper(3)<Speaker>凯瑟琳</Speaker>;ColtWalker(1)||:你这抠门鬼，就不能买点好的溶剂？！
NPC-Scalper(3);ColtWalker(1)<Speaker>玛姬</Speaker>||:哦，用你打来的钱买的，还以为你会希望我省着点花。
NPC-Scalper(3)<Speaker>凯瑟琳</Speaker>;ColtWalker(1)||:对哦，我的钱！全部还给我！
NPC-Scalper(3);ColtWalker(1)<Speaker>玛姬</Speaker>||:诶？明明转账的留言说得那么深情……+“永别了，玛姬……”
NPC-Scalper(3)<Speaker>凯瑟琳</Speaker>||:闭嘴啊！！！我那个时候真以为自己要死了！！！
()||<SE1>AVG_va_addingredient</SE1>:狠狠地对玛姬施加打击后，凯瑟琳坐在地上给自己上了一堆机油。
()||<SE1>AVG_File_Put</SE1>:然后心满意足地坐躺在沙发上。
NPC-Scalper(3)<Speaker>凯瑟琳</Speaker>||<BGM>BGM_Empty</BGM>:喂，所以那个委托到底是什么？
NPC-Scalper(3);ColtWalker(3)<Speaker>玛姬</Speaker>||<BGM>GF_21summer_avg_SecretAgent</BGM>:……+还不清楚。
NPC-Scalper(3)<Speaker>凯瑟琳</Speaker>;ColtWalker(3)||:还不清楚你就敢接？
NPC-Scalper(3);ColtWalker(3)<Speaker>玛姬</Speaker>||:总之不会是容易的事情。+光是接下这个委托，对方就敢把你我从律贼手里抢下命来。
NPC-Scalper(3)<Speaker>凯瑟琳</Speaker>;ColtWalker(3)||:……委托人肯定不会就这样让我们占便宜的，总感觉很快就会还回去。
NPC-Scalper(3);ColtWalker(1)<Speaker>玛姬</Speaker>||:放心，每一次我们都爬上了诺亚方舟的甲板，这次也不会例外。
NPC-Scalper(0)<Speaker>凯瑟琳</Speaker>;ColtWalker(1)||:也是。+所以从什么时候开始做那个单子？
NPC-Scalper(0);ColtWalker(3)<Speaker>玛姬</Speaker>||:现在。
NPC-Scalper(3)<Speaker>凯瑟琳</Speaker>;ColtWalker(3)||:啊……那该怎么开始？
ColtWalker(3)<Speaker>玛姬</Speaker>||:明天就知道了，目前为止对方只提供了单子名称“皇家赌场”以及一个匿名通讯。
()||<SE1>AVG_tele_connect</SE1>:嘀——+玛姬重现了那个无法溯源的通讯。
()<Speaker>серый</Speaker><通讯框>||:<color=#00CCFF>你的面试我将安排在明早9点，坐标如下。</color>
NPC-Scalper(3)<Speaker>凯瑟琳</Speaker>||:确实完全无法溯源……
NPC-Scalper(3);ColtWalker(3)<Speaker>玛姬</Speaker>||:很久没有遇见这样的对手了。
NPC-Scalper(3)<Speaker>凯瑟琳</Speaker>;ColtWalker(3)||:能轻易搞定律贼……一定不是什么简单的角色……+真是刚出虎穴，又进狼窝。
NPC-Scalper(3);ColtWalker(3)<Speaker>玛姬</Speaker>||:你错了，这叫驱虎吞狼。
NPC-Scalper(3)<Speaker>凯瑟琳</Speaker>;ColtWalker(3)||:不过，倒也不是完全没有线索，серый这个词语，是俄语中灰色的意思。
ColtWalker(3)<Speaker>玛姬</Speaker>||:灰色……+我猜这个词语背后还有着其他含义，需要我们去一层层剥开……+这让我想起了很多旧时光，只不过那时候的客人，远没有现在的难缠。
()||<黑屏1><BGM>BGM_Empty</BGM>:
()||<黑屏2><BIN>272</BIN><narrator>:几天后 不莱梅 芙洛拉研究所
()||<BGM>BGM_Brain</BGM><SE1>AVG_footsteps_cave</SE1>:按照面试邀约上的时间地点，玛姬按时抵达了这座位于市区中心的大厦，并在前台小姐的引领下，走进了等待区。
