()||<BIN>98</BIN><BGM>BGM_Battle</BGM><黑屏2><火花><SE1>Gunfight</SE1>:…………
M4A1Mod(4)<Speaker>M4A1</Speaker>||:404小隊！還能堅持住嗎！？
UMP45(2)<Speaker>UMP45</Speaker>||:安潔似乎忘記了404從來不是為了打這種攻堅戰組建的……咳咳，情況不太樂觀……
HK416(3)<Speaker>HK416</Speaker>||:快用你無敵的狡猾心智想出個辦法出來啊！UMP45！
UMP45(2)<Speaker>UMP45</Speaker>||:再狡猾的心智也沒法擊穿150毫米裝甲的。
M4A1Mod(4)<Speaker>M4A1</Speaker>||:安潔說的最終手段呢？！
UMP45(2)<Speaker>UMP45</Speaker>||:還不到時候……安潔沒有下命令……！
UMP9(2)<Speaker>UMP9</Speaker>||:右翼750米有格里芬的訊號！
M4A1Mod(4)<Speaker>M4A1</Speaker>||:是指揮官嗎！？
NPC-Ange(0)<Speaker>安潔莉婭</Speaker><通讯框>||:M4！45！聽得見嗎！指揮官和我已經在和軍方交火了！+我們會拖住他們，你們趁這個時機穿過他們的分割部隊，一定要找到主腦！聽到了嗎！
UMP45(2)<Speaker>UMP45</Speaker>||:416和G11到上面的塔進行火力支援！+M4！你們跟上我和9！我們走最短路線！
HK416(3)<Speaker>HK416</Speaker>||:什麼最短路線，你這是想要自殺嗎！
UMP45(2)<Speaker>UMP45</Speaker>||:我已經觀察過了，他們的坦克沒法低俯角射擊！+幫我們吸引火力，如果快速移動的話還有最後一絲機會！
HK416(3)<Speaker>HK416</Speaker>||:嘖！你們全瘋了！G11快爬上來，我們移位！
G11(2)<Speaker>G11</Speaker>||<黑屏1><关闭火花>:馬…馬上！
