13214<-ID->()||<BIN>9</BIN><SE1>AVG_Rain2</SE1><BGM>BGM_Empty</BGM>:戰鬥之後……
13215<-ID->？？()||<BIN>9</BIN>:M4……+…………+M4A1……
13216<-ID->M4A1()||<BIN>9</BIN><黑屏1>:…………+我這是……在哪裡……
13217<-ID->M4A1()||<BIN>117</BIN><黑屏2>:……！+這……+A……AR……
13218<-ID->AR15()||<BIN>117</BIN>:別亂動。+背你很累的。
13219<-ID->M4A1()||<BIN>117</BIN><BGM>BGM_Wake</BGM>:…………+真的……是你？
13220<-ID->AR15()||<BIN>117</BIN><SE2>AVG_Rain2</SE2>:別亂動腦袋，聽聲音就能夠了吧？
13221<-ID->M4A1()||<BIN>117</BIN>:為什麼……+……我不敢相信！+AR15……你……還活著？！
13222<-ID->AR15()||<BIN>117</BIN>:先離開這裡，之後我會慢慢解釋這個事。
13223<-ID->M4A1()||<BIN>117</BIN><SE1>AVG_Rain2</SE1>:可是為什麼……在這個時候，你會出現……
13224<-ID->AR15()||<BIN>117</BIN>:我有我自己的任務，遇到你只是個順道罷了。+不過……至少不算是壞事吧。
13225<-ID->M4A1()||<BIN>118</BIN>:先放我下來，我自己走。
13226<-ID->AR15()||<BIN>118</BIN>:如果你能走，我就沒必要背著你了。
13227<-ID->M4A1()||<BIN>118</BIN>:……？！+我的身體，不聽使喚……？
13228<-ID->AR15()||<BIN>118</BIN><SE2>AVG_Rain2</SE2>:要怪就怪旁邊那個傢伙吧……+她在斷線時出了些問題，你的心智模組受了點損壞，行動暫時受了些限制。
13229<-ID->AK12()||<BIN>118</BIN>:多少是我的錯啦，所以我才幫你背了這個匣子呀。+不過你們這種落後的人形非要裝那麼精密的模組，多少也有責任吧？
13230<-ID->M4A1()||<BIN>118</BIN>:那是……誰的聲音？
13231<-ID->AK12()||<BIN>118</BIN>:戰術人形AK12，來自【忤逆】小隊。
13232<-ID->M4A1()||<BIN>118</BIN>:忤逆……？你們是做什麼的？+AR15，你現在也是她們的一員？
13233<-ID->AR15()||<BIN>118</BIN>:我接受了新的雇主，沒有選擇。+安潔莉婭，你見過她。
13234<-ID->M4A1()||<BIN>118</BIN>:安潔……莉婭……？+……那個幫我進入作戰區域的女人嗎？+其他人呢？+SOP2……還有RO呢？
13235<-ID->AR15()||<BIN>118</BIN><SE1>AVG_Rain2</SE1>:……現在不是想她們的時候，鐵血的精銳還在附近。+專注你眼前的事情，把嘴閉上，跟我撤退。
13236<-ID->M4A1()||<BIN>118</BIN><黑屏1>:……+SOP2……+RO……
13237<-ID->M4A1()||<BIN>9</BIN><黑屏2>0.8</黑屏2><黑屏1>2</黑屏1>:我……記得……+我看到RO她……
13238<-ID->M4A1()||<BIN>9</BIN><黑屏2>:不行！我不能……不能丟下她們！+放下我，讓我回去！
13239<-ID->AR15()||<BIN>9</BIN>:別亂動！把你丟在這裡，你現在的狀態連跑不出十步就會被鐵血抓到。
13240<-ID->M4A1()||<BIN>9</BIN><黑屏1>:那我這個樣子，又是誰的錯！
13241<-ID->AR15()||<BIN>117</BIN><黑屏2><SE2>AVG_Rain2</SE2>:我們是為了破壞你和監視你的人之間的聯繫，才不得不強行切斷你的二級平層連線。
13242<-ID->M4A1()||<BIN>117</BIN>:監視我的人？+……誰？誰在監視我？
13243<-ID->AR15()||<BIN>117</BIN>:你真的認為，我們的敵人只有鐵血而已嗎？
13244<-ID->M4A1()||<BIN>117</BIN>:究竟……究竟是怎麼回事……+格里芬的任務……不就是消滅鐵血嗎……+我卻……我卻拋下的隊友，和目標……
13245<-ID->AR15()||<BIN>117</BIN><黑屏1>:無論你要做什麼，先休息吧。+你想要的力量，我們之後會給你的……
13246<-ID->M4A1()||<BIN>9</BIN><黑屏2>:…………
13247<-ID->AR15()||<BIN>9</BIN>:M4？
13248<-ID->AK12()||<BIN>9</BIN>:她心智負擔太重，無法支持一級表層的意識了。
13249<-ID->AR15Mod(0)<Speaker>AR15</Speaker>||<BIN>99</BIN><黑屏2>:真是一團亂……+AK12，說吧，你現場究竟調查到了什麼……
13250<-ID->AR15Mod(0);AK12(0)<Speaker>AK12</Speaker>||<BIN>99</BIN>:AK12都是壞消息。+首先，M4 SOPMOD II失蹤了，可以確認不在這附近，周圍也沒有能判斷她此刻狀態的線索。
13251<-ID->AR15Mod(0)<Speaker>AR15</Speaker>;AK12(0)||<BIN>99</BIN>:…………
13252<-ID->AR15Mod(0);AK12(0)<Speaker>AK12</Speaker>||<BIN>99</BIN>:我會不會說得太直接了？
13253<-ID->AR15Mod(0)<Speaker>AR15</Speaker>;AK12(0)||<BIN>99</BIN>:直接一點好……+RO呢？我看到她……
13254<-ID->AR15Mod(0)<Speaker>AR15</Speaker></Speaker>;AK12(0)||<BIN>99</BIN>:……AK12嘆了口氣。
13255<-ID->AR15Mod(0);AK12(0)<Speaker>AK12</Speaker>||<BIN>99</BIN>:RO635完全停止了全部機能，所以……
13256<-ID->AR15Mod(0)<Speaker>AR15</Speaker>;AK12(0)||<BIN>99</BIN>:……+我……絕對不會放過他們。+還有，我說過要回收陣亡人形的心智……
13257<-ID->AR15Mod(0);AK12(0)<Speaker>AK12</Speaker>||<BIN>99</BIN>:RO635的心智模組被人整個挖走了。+可以確認這是她陣亡之後發生的。
13258<-ID->AR15Mod(0)<Speaker>AR15</Speaker>;AK12(0)||<BIN>99</BIN>:……+這會是個好消息嗎……
13259<-ID->AR15Mod(0);AK12(0)<Speaker>AK12</Speaker>||<BIN>99</BIN>:樂觀點想，也許SOP2躲過了偷襲，然後帶著RO的心智離開了。+這個答案你滿意嗎？
13260<-ID->AR15Mod(0)<Speaker>AR15</Speaker>;AK12(0)||<BIN>99</BIN>:……+我很想做這樣的假設。
