()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:
()<Speaker></Speaker>||<BIN>773</BIN><黑屏2><CGDelay>0.5</CGDelay>:
()<Speaker></Speaker>||<narrator><SE1>AVG_keyboardtype_sci</SE1>:■アーカイブ■ AS76584937218463解析中……
()||<黑屏1>:
()<Speaker></Speaker>||<BIN>9</BIN><黑屏2>:
()||<黑屏1>:
()||<黑屏2><BIN>414</BIN><CGDelay>0.5</CGDelay>:
()<Speaker></Speaker>||<BGM>BGM_ev2408_BeeCatcher</BGM><SE1>AVG_20Winter_Door_Open</SE1>:静かな部屋の中、誰かがドアを開けた音が、止まった空気を破った。+モリドーはまるで入ってくる人を予見していたかのように、//n微笑みながら頭を上げた。
NPC-Morridow(8)<Speaker>モリドー</Speaker><Position>0,90</Position>||:また会いに来るって信じていましたよ、ニモゲン。
NytoIsomer(12)<Speaker>M4A1</Speaker>||:……私はただあなたに、あなたのバーチャルモデルをはっきりと見せたいだけ。
()<Speaker></Speaker>||<SE1>AVG_20Winter_Door_Close</SE1>:静かにドアを閉めると、M4はゆっくりとモリドーの前に立ち、//n相変わらず居丈高な態度で、モリドーを見下ろしていた。+モリドーはなぜか、前よりもずっと態度が曖昧になっていた。
NPC-Morridow(8)<Speaker>モリドー</Speaker><Position>0,90</Position>||:なぜ私を助けたのでしょうか？//nニモゲン、今のあなたにはもう、あの時と同じようなことはできません。+もし、仮の話ですけど……//nもし今度、彼女たちの目標が変わったら、あなたたちはそこでお終いですよ。
NytoIsomer(12)<Speaker>M4A1</Speaker>||:私も二度とあんなことしたくない。
NPC-Morridow(8)<Speaker>モリドー</Speaker><Position>0,90</Position>||:では、なぜ？
NytoIsomer(12)<Speaker>M4A1</Speaker>||:……
()<Speaker></Speaker>||<SE1>ClothingUp</SE1>:M4は腰を曲げて、威圧的に顔を近づけた。
NytoIsomer(12)<Speaker>M4A1</Speaker>||:言ったはずよ、私はあなたを救いたいだけ。
NPC-Morridow(8)<Speaker>モリドー</Speaker><Position>0,90</Position>||:……おかしな話ですね、私を救いたいんなら、このまま私を逃がせばいいのに？
NytoIsomer(12)<Speaker>M4A1</Speaker>||:そうする。
NPC-Morridow(9)<Speaker>モリドー</Speaker><Position>0,90</Position>||:……はい？
NytoIsomer(12)<Speaker>M4A1</Speaker>||:そうする、って言った。+ただ、それは今じゃない。今は、本当のあなたを見たい。
NPC-Morridow(8)<Speaker>モリドー</Speaker><Position>0,90</Position>||:……
()<Speaker></Speaker>||:モリドーは目を瞬かせ、口を開いて何か言おうとしたが、//n結局何も言わず、黙ることにした。
NytoIsomer(12)<Speaker>M4A1</Speaker>||:……あなたの「お父様」は、ただ放射線に抗える部分免疫体を//n探すためだけに、生きる屍を作り続けた。+……そして残念なことに、そのすべてが徒労に終わった。
NPC-Morridow(8)<Speaker>モリドー</Speaker><Position>0,90</Position>||:……それがパラデウスの存在意義ですよ、ニモゲン。+私たちは新しい時代を切り開いている……私たちの名の通りにね。+愚昧な人間を、本当の福音の地に導くために。
NytoIsomer(12)<Speaker>M4A1</Speaker>||:ただの自己欺瞞なんじゃないの？
NPC-Morridow(9)<Speaker>モリドー</Speaker><Position>0,90</Position>||:黙りなさい。
()<Speaker></Speaker>||:いつの間にか、モリドーから余裕さが消え、暗い表情が浮かんだ。
NytoIsomer(12)<Speaker>M4A1</Speaker>||:いくら自分を否定しても、過去との繋がりを否定しても、//nそれは永遠にあなたの心に残る。+記憶は、絶対的な証拠になる。+あなたたちは等しく同じ失敗作で、あなたも彼女の影の一つに過ぎない。//nたとえ自分の手でそれを終わらせたとしても、事実が変わることはない。
NPC-Morridow(9)<Speaker>モリドー</Speaker><Position>0,90</Position>||:彼女って……まさか……ルニシア？
()<Speaker></Speaker>||<SE1>ClothingUp</SE1>:必死に頭を振るモリドーは、まるで脳裏に浮かんだ恐ろしい考えを、//n降り払おうとしているかのように見えた。
NPC-Morridow(9)<Speaker>モリドー</Speaker><Position>0,90</Position>||:ありえない……そんなの嘘に決まっている！+完璧の個体は、私なのよ！
NytoIsomer(12)<Speaker>M4A1</Speaker>||:本当にそうかしら？
()<Speaker></Speaker>||:そんなモリドーに、M4は憐れみの目を向ける。
NytoIsomer(12)<Speaker>M4A1</Speaker>||:……真実は、あなた自身が一番よく知っているはず。
()<Speaker></Speaker>||:M4から圧を感じ、モリドーは恐怖で後ろへ一歩下がった。+背中が何かにぶつかったと感じ振り返ると、そこには一面の鏡があった。+鏡の中に映っているのは、まさにあの泥まみれの死体だった。
NPC-Morridow(9)<Speaker>モリドー</Speaker><Position>0,90</Position><Shake>||:<size=50>嫌……いや……イヤ！！！</size>
()<Speaker></Speaker>||<SE1>ClothingUp</SE1>:死体は、モリドーとまったく同じ動きをしていた。
NPC-Morridow(9)<Speaker>モリドー</Speaker><Position>0,90</Position>||:私は失敗作なんかじゃない……私は！　私は！
NPC-Morridow(9)<Speaker>モリドー</Speaker><Position>0,90</Position>||<关闭蒙版>:ありえない、そんなのありえない！//n私が失敗作だというのなら、あなたは一体何なの！！！
()<Speaker></Speaker>||:取り乱すモリドーを、M4はじっと見つめた。
NytoIsomer(12)<Speaker>M4A1</Speaker>||:私が何であれ、それは重要なことではない。
NPC-Morridow(9)<Speaker>モリドー</Speaker><Position>0,90</Position>||:……
NytoIsomer(12)<Speaker>M4A1</Speaker>||:重要なのは、あなたは何になりたいか。+私は、あなたを定められた運命から救い出すために来た。
NPC-Morridow(9)<Speaker>モリドー</Speaker><Position>0,90</Position>||:私は……いつかただ一人の完全免疫体になるために……+私は、ただ一人の完全免疫体になりたいの！+それを助けてくれるのなら――
NPC-Morridow(9)<Speaker>モリドー</Speaker><Position>0,90</Position>||<CGDelay>0.6</CGDelay>:
NPC-Morridow(9)<Speaker>モリドー</Speaker><Position>0,90</Position>||:いいや、違う……+ベルリンのコクーン計画さえ完遂できれば……+お父様はバスケアを殺し、私をただ一人の完全免疫体にするはずです。
NytoIsomer(12)<Speaker>M4A1</Speaker>||:……それで？　完全免疫体になった後のことを考えたことあるの？
NPC-Morridow(9)<Speaker>モリドー</Speaker><Position>0,90</Position>||:……+私は、あなたと一つになります。
NytoIsomer(12)<Speaker>M4A1</Speaker>||:それがあなたの望み？　私と一つになることが、あなたの望みなの？+……それが望みなら叶えてあげる。
NPC-Morridow(9)<Speaker>モリドー</Speaker><Position>0,90</Position>||:……いや、違う……
NytoIsomer(12)<Speaker>M4A1</Speaker>||:私の言うことを聞いてくれるのなら、助けてあげることができる。//n何度でも、あなたを救うことができる……
NPC-Morridow(9)<Speaker>モリドー</Speaker><Position>0,90</Position>||<CGDelay>0.5</CGDelay>:
NPC-Morridow(9)<Speaker>モリドー</Speaker><Position>0,90</Position>||:……どうやって？
NytoIsomer(12)<Speaker>M4A1</Speaker>||:クレイドル・レイクを破壊する……+ベルリンとフランクフルトの「コクーン」を破壊する……+そうしたら、あなたはあなたのままでいられる。
()<Speaker></Speaker>||<CGDelay>0.7</CGDelay>:
()||<黑屏1><CGDelay>0.5</CGDelay>:
()<Speaker></Speaker>||<黑屏2><BIN>9</BIN>:マハリアンは愚かだと、バスケアは思っていた。+しかし、まさかモリドーまで愚かだとは思わなかった。
()<Speaker></Speaker>||<CGDelay>0.5</CGDelay>:「コクーン」から生まれたネイトには、それぞれ自分だけの欲望がある。+マハリアンは人間の世界に戻りたい。+モリドーは絶対的な自由が欲しい。+なら、バスケアは？
()<Speaker></Speaker>||<CGDelay>0.5</CGDelay>:バスケアは思った――+自分の欲望は何だろう？
()||<黑点1>:
