13469<-ID->()|||<BIN>99</BIN><BGM>BGM_Empty</BGM><Night>:……突圍進行中。
13470<-ID->AR15Mod(2)<Speaker>AR15</Speaker>||:你真的放心把這些敵人交給她一個人嗎？
13471<-ID->AK12(0)<Speaker>||:既然安潔覺得她沒問題，那我也覺得沒問題。+你們不是一個小隊的嗎，不應該更了解她嘛？
13472<-ID->AR15Mod(2)<Speaker>AR15</Speaker>||:所以我才擔心她……+你倒是……真的安逸到過分。
13473<-ID->AK12(0)<Speaker>||:人形就該有人形的樣子，要是事事都要我操心，那還要人類來幹嘛？+哎呀，她回來了。
13474<-ID->()||<BGM>BGM_Sneak</BGM>:……M4A1走了過來。
13475<-ID->M4A1Mod(0)<Speaker>M4A1</Speaker>||:敵人全部被殲滅，可以朝下一個目標地點前進了。
13476<-ID->AK12(0)<Speaker>||:修復後的表現不錯嘛。+不過也別努力過頭了，才剛剛修復好，要是又弄壞可就不好了。
13477<-ID->M4A1Mod(0)<Speaker>M4A1</Speaker>||:現在感覺身體很輕……機動性和瞄準速度都快多了……AK12，你的技術真的很厲害。
13478<-ID->AK12(0)<Speaker>||:就算你誇獎我，我也不會有多高興哦。+我擔心的是你的心智還沒完全適應新的裝備組件。+要是使用過度導致不兼容，心智又原地崩解了呢？我聽說你……
13479<-ID->M4A1Mod(0)<Speaker>M4A1</Speaker>||:它只需要撐到我親手消滅目標就夠了，這不會太久的的。
13480<-ID->AR15Mod(0)<Speaker>AR15</Speaker>||:M4A1，你知道穿越沙漠時乘坐馬和駱駝有什麼區別嗎？
13481<-ID->M4A1Mod(0)<Speaker>M4A1</Speaker>||:這是什麼？心靈雞湯時間？
13482<-ID->AR15Mod(0)<Speaker>AR15</Speaker>||:馬會在前進中露出疲憊姿態，而駱駝會若無其事然後突然倒下，把人丟在沙漠裡孤立無援。+不管這故事是不是真的，你知道我要說什麼吧？
13483<-ID->M4A1Mod(0)<Speaker>M4A1</Speaker>||:……+如果心智有異常，我會讓你們知道的。+換我問了，AR15，你……還是不打算告訴我嗎？
13484<-ID->AR15Mod(0)<Speaker>AR15</Speaker>||:告訴你什麼？
13485<-ID->M4A1Mod(0)<Speaker>M4A1</Speaker>||:當然是你為什麼還活著的這件事。
13486<-ID->AR15Mod(0)<Speaker>AR15</Speaker>||:現在也不是敘舊的時候。
13487<-ID->AK12(0)<Speaker>||:M4如果你是在擔心AR15身上的傘病毒，那東西暫時沒有擔心的必要了。
13488<-ID->AR15Mod(3)||:
13489<-ID->AR15Mod(4)<Speaker>AR15</Speaker>||<黑屏1>10</黑屏1>:閉嘴，AK12，再說下去我就——
13490<-ID->()||<BIN>9</BIN><震屏><SE1>Explode</SE1><BGM>BGM_Empty</BGM><黑屏2>10</黑屏2><黑屏1>:……轟！！
13491<-ID->()||<BIN>99</BIN><黑屏2><火花><Night><BGM>BGM_Battle</BGM>:……隨後數秒的時間，沒有人能聽到彼此的語音。
13492<-ID->()||<震屏><SE1>Explode</SE1>:……轟！轟！+……塵土、樹木、殘骸全被卷上了天空。
13493<-ID->AR15Mod(5)<Speaker>AR15</Speaker>||:咳！咳咳！+M4，你沒事吧！
13494<-ID->M4A1Mod(0)<Speaker>M4A1</Speaker>||:不要緊，掩體還在！
13495<-ID->AK12(0)<Speaker>||:AR15，原來你生氣時周圍就會爆炸嗎？
13496<-ID->AR15Mod(5)<Speaker>AR15</Speaker>||:別開玩笑了！是鐵血主力的炮擊！我們被發現了！
13497<-ID->AK12(0)<Speaker>||:從訊號上看，確實有個超高危險度的鐵血人形在接近。+恐怕光靠我們現在的人手可能撐不住。
13498<-ID->M4A1Mod(0)<Speaker>M4A1</Speaker>||:對方的前鋒部隊要來了！準備反擊！
13499<-ID->AR15Mod(0)<Speaker>AR15</Speaker>||:AK12，立刻聯繫安潔！
13500<-ID->AK12(0)<Speaker>||:誒？你不應該先嘗試靠自己的力量去消滅敵人嗎？
13501<-ID->AR15Mod(5)<Speaker>AR15</Speaker>||:對方有重武器，怎麼消滅啊？！
13502<-ID->AK12(0)<Speaker>||:好吧好吧。沒辦法，只能明碼呼叫了。+安潔，你在聽嗎？
13503<-ID->NPC-Ange(0)<Speaker>安潔莉婭</Speaker><通讯框>||:我在，你應該接到任務了吧，去β點集合。
13504<-ID->AK12(0)<Speaker>||:雖然現在說有點不合時宜，不過嘛……+那個……我們好像遇到麻煩了啊。
13505<-ID->AR15Mod(5)<Speaker>AR15</Speaker>||<SE1>Gunfight</SE1>:別磨蹭了！+安潔，我們正在被鐵血的主力部隊壓制，需要支援！
13506<-ID->AK12(2)<Speaker>||:不要在我耳朵邊喊啊，你不是自己有無線電嘛！
13507<-ID->NPC-Ange(0)<Speaker>安潔莉婭</Speaker><通讯框>||:我料到了，一個特別援軍正在你們的路上。
13508<-ID->AR15Mod(5)<Speaker>AR15</Speaker>||:特別的援軍？該不會又是……
13509<-ID->AK12(0)<Speaker>||:啊，通訊中斷了。+果然要AN94做電子對抗還是有些困難啊……+不過我們的坐標安潔她們應該已經捕捉到了，在這裡防禦等待她們來支援就行啦！
13510<-ID->AR15Mod(0)<Speaker>AR15</Speaker>||<黑屏1><关闭火花>:明白！+M4，跟我先去抵擋敵人！+堅持到安潔的增援到達為止！
