()||<BGM>BGM_NightOPS</BGM><BIN>10</BIN>:…………十分鐘後。
PM(0)<Speaker>馬卡洛夫</Speaker><通讯框>||:這裡還是一片安靜呢，鐵血還沒有行動。
RO()<Speaker>RO</Speaker>||:鐵血在拿這座城市進行某種大型武器的火力測試。+所以那個炮擊不是針對我們的，92她們活下來的可能性很大。
PM(0)<Speaker>馬卡洛夫</Speaker>||:哦？你怎麼知道的？
RO()<Speaker>RO</Speaker>||:有人在調查這件事，我剛剛收到的情報。
PM(0)<Speaker>馬卡洛夫</Speaker>||:剛剛？在你抱著我哭完之後？
RO()<Speaker>RO</Speaker>||:別說的那麼難為情啊！我只是發洩一下而已！
PM(0)<Speaker>馬卡洛夫</Speaker>||:原來如此……+順便一說，我的發洩方式就是把別人的發洩方式公開出去。+我已經錄下來了，期待明天的Fatebook吧。
RO()<Speaker>RO</Speaker>||<黑屏1>:…………+所以我才想讓92來當副官啊……+好啦，說正經的，讓我們開始行動吧。
PM(0)<Speaker>RO</Speaker>||<黑屏2><BIN>8</BIN>:馬卡洛夫，你已經在控制台前面了，對吧？+我會把指揮命令傳送給你，引導你通過梯隊吸引鐵血的主力。+而我去親自確認大家的情況，可以的話，就把所有人都營救回來。
PM(0)<Speaker>馬卡洛夫</Speaker>||<黑屏1>:（歎氣）我知道了。+讓你乖乖躲在指揮室裡，你也不甘心吧。+不過我還是得提醒你，這太冒險了。
RO()<Speaker>RO</Speaker>||<黑屏2><BIN>9</BIN>:感謝提醒，不過完成你該做的吧，馬卡洛夫。+如果我再遇到意外，你就一個人帶著梯隊回去。
PM(0)<Speaker>馬卡洛夫</Speaker>||:…………+RO，我剛剛從赫麗安那邊回來，拿到了很多情報。+包括你想知道的，AR-15留下的那些東西……
RO()<Speaker>RO</Speaker>||:…………
PM(0)<Speaker>馬卡洛夫</Speaker>||:給我活著回來，然後我才會告訴你，聽到了嗎？
RO()<Speaker>RO</Speaker>||<黑屏1>:…………+成交。+在我回來之前，想想你要從哪說起吧。
RO()<Speaker>RO</Speaker>||<黑屏2><BIN>10</BIN>:那麼讓我們開始行動吧。+指揮操作就交給你了，馬卡洛夫。+首先，我要你把準備好的梯隊部署在這裡……
