()||<BIN>9</BIN><黑屏1>0,10</黑屏1>:
NPC-Lunasia(6)<Speaker>ルニシア（？）</Speaker>||<黑屏2><BIN>569</BIN>:……
NPC-Lunasia(6)<Speaker>ルニシア（？）</Speaker>||:…………
NPC-Lunasia(6)<Speaker>ルニシア（？）</Speaker>||:………………
NPC-Lunasia(6)<Speaker>ルニシア（？）</Speaker>||:……あなたなの？+「ルニシア」？
M4A1Mod(0)<Speaker>？？？？</Speaker>||:……
M4A1Mod(2)<Speaker>M4A1</Speaker>||:初めまして。+私は「M4A1」……ルニシアでも、M4でもいい。
M4A1Mod(2);NPC-Lunasia(6)<Speaker>ルニシア（？）</Speaker>||:分からない……分からないわ……+どうしてこんなことをするの？+ネイトも、異性体も、あの邪魔な模造品も……+なんなら私さえも……
M4A1Mod(2);NPC-Lunasia(6)<Speaker>ルニシア（？）</Speaker>||:あなたにとって、私たちの存在に意味はない。+あなたは本物の「ルニシア」になることができた、ビルの唯一の姉に//nなることができた。+新世界の女神に……なることができた。
M4A1Mod(2);NPC-Lunasia(6)<Speaker>ルニシア（？）</Speaker>||:なのになぜ諦めたの？　なぜ離れたの？　なぜ……彼を裏切ったの？
M4A1Mod(2)<Speaker>M4A1</Speaker>;NPC-Lunasia(6)||:私は誰も裏切っていないわ。+ビルが、私たちを裏切ったの。+やさしさを、正義を、理想を。+そして……あなたたちを。
M4A1Mod(2);NPC-Lunasia(6)<Speaker>ルニシア（？）</Speaker>||:そんなことない……ビルは、私を愛している……
M4A1Mod(2)<Speaker>M4A1</Speaker>;NPC-Lunasia(6)||:本当に？
M4A1Mod(2);NPC-Lunasia(6)<Speaker>ルニシア（？）</Speaker>||:……
M4A1Mod(2);NPC-Lunasia(6)<Speaker>ルニシア（？）</Speaker>||:……違う。+彼が愛したのは、私であって私ではない。+彼が愛したのは、あなたであってあなたではない。
M4A1Mod(2)<Speaker>M4A1</Speaker>;NPC-Lunasia(6)||:私は、あなたよりも少しだけ運がよかっただけ。//nそれ以外、何も特別なところはない。+あなたも、誰かの代わりになる必要はない。+あなたはあなた。あなたにも、本物の愛を得る権利がある。
M4A1Mod(2);NPC-Lunasia(6)<Speaker>ルニシア（？）</Speaker>||:私は……
M4A1Mod(2);NPC-Lunasia(6)<Speaker>（？）</Speaker>||:この名前を捨てたら……私に何が残るの？
M4A1Mod(2)<Speaker>M4A1</Speaker>;NPC-Lunasia(6)||:まだ、あなたが残っている。+そして本当の意味で、あなたは生まれ、生きる。
M4A1Mod(2)<Speaker>M4A1</Speaker>||:おめでとう。+あなたはようやく見つけた。本当の、帰るべき場所を。
NPC-Lunasia(6)<Speaker>（？）</Speaker>||:……+……ありがとう。+ありがとう、M4A1。
()||<黑点1>:
