()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:幾分鐘前。
()<Speaker></Speaker>||<BIN>222</BIN><黑屏2><BGM>BGM_Danger</BGM>:基地一層，通海閥不遠處。
UMP45Mod(0)<Speaker>UMP45</Speaker>||<SE2>Gunfight</SE2>:UMP45呼叫AR小隊，你們到哪裡了？+我們彈藥快打完了。
UMP45Mod(0);HK416Mod(0)<Speaker>HK416</Speaker>||:手槍子彈也打完了！+指揮官，把你的槍給我！
UMP45Mod(0);HK416Mod(0)<Speaker>指揮官</Speaker>||:還有兩分鐘就要引爆了，你們自己想辦法離開吧。
UMP45Mod(0)<Speaker>UMP45</Speaker>;HK416Mod(0)||<SE1>Select</SE1>:我們自己離開誰付報酬給我們？我從不做虧本生意。+最後一個彈匣！
UMP45Mod(0);NPC-Kalin(8)<Speaker>格琳娜</Speaker><通讯框>||<SE1>AVG_tele_connect</SE1>:<color=#00CCFF>指揮官！我們有人形突破封鎖衝進來了！</color>+<color=#00CCFF>現在你在什麼位置？！</color>
UMP45Mod(0);NPC-Kalin(8)<Speaker>指揮官</Speaker>||:不是說不要管我嗎，你們先撤！
UMP45Mod(0);NPC-Kalin(8)<Speaker>格琳娜</Speaker>||:<color=#00CCFF>這種事沒有人會答應的！</color>+<color=#00CCFF>快告訴我們你的位置！</color>
UMP45Mod(0)<Speaker>UMP45</Speaker>;NPC-Kalin(1)||:已經同步過去了，有多少人可以來支援？
SL8(1)<Speaker>SL8</Speaker>;NPC-Kalin(1)||<SE1>AVG_tele_disconnect</SE1>:真遺憾啊，只有我一個，還是從海裡遊上來進了水的。+不過我還能握槍，也帶了完好的彈藥補給來。
SL8(1);HK416Mod(0)<Speaker>HK416</Speaker>||:有總比沒有好！
SL8(1)<Speaker>SL8</Speaker>||:你說得對。哇喔，指揮官，你看起來也太淒慘了吧！+……哦，不用說話，保存好體力！
()<Speaker></Speaker>||<SE1>RunStep</SE1>:突破的人形身上已經受了不少的創傷，但她還是迅速地來到了我身邊。+獲取彈藥後，404小隊也恢復了反擊的火力。
RO635(0)<Speaker>RO635</Speaker><通讯框>||<SE1>AVG_tele_connect</SE1>:<color=#00CCFF>RO呼叫404，我們從你們的側面靠近，不要對我們開槍。</color>
UMP45Mod(0)<Speaker>UMP45</Speaker>||<SE1>AVG_pistol_finalshot_n</SE1><SE1>AVG_tele_disconnect</SE1>:來得太晚了。
()<Speaker></Speaker>||<SE2>Gunfight</SE2><SE1>Explode</SE1>:AR小隊的火力猛然在軍方分隊的側面爆發，兩發榴彈在士兵之間炸開，再加上人形的準確射擊，這支分隊很快就被消滅了。
RO635(0)<Speaker>RO635</Speaker>||:指揮官你沒事吧？
