()||<BIN>9</BIN><BGM>BGM_Sneak</BGM>:…………
？？()<Speaker>？？</Speaker>||<黑屏1>:……45？+醒醒！UMP45！
UMP45()<Speaker>UMP45</Speaker>||<BIN>70</BIN><黑屏2>:唔…………
UMP45(2)<Speaker>UMP45</Speaker>||:我……睡了多久？
UMP45(2);UMP9(2)<Speaker>UMP9</Speaker>||:沒多久啦，希爾說你的調試結束了，所以讓我們來叫你，只是……
UMP45(2);HK416(0)<Speaker>HK416</Speaker>||:只是第一次看到你把眼睛瞪得這麼大，有點有趣罷了。
UMP45(2);G11(0)<Speaker>G11</Speaker>||:你剛才好像死機了。
UMP45(2)<Speaker>UMP45</Speaker>;G11(0)||:…………+只是突然離線，有點來不及適應……這次戰鬥好像沒能順利結束。
UMP45(2);NPC-Seele(0)<Speaker>希爾</Speaker>||:抱歉，45小姐，剛才遇到了緊急狀況……+我在檢查網路時突然檢測到一名其他人形的信號。
HK416(2)<Speaker>HK416</Speaker>;NPC-Seele(0)||:不速之客？難道是鐵血？
HK416(2);NPC-Seele(0)<Speaker>希爾</Speaker>||:不，是格里芬的信號，應該是人形不小心闖進了網路。+我想，應該是準備前往指揮官那裡報到的新人形，在入職驗證時進錯了網路入口。+估計又是德爾監視時走神把介面搞混了……
G11(2)<Speaker>G11</Speaker>;NPC-Seele(0)||:那樣的話……我們隨時有暴露的危險啊……
G11(2);NPC-Deele(0)<Speaker>德爾</Speaker>||:別亂說！雖然是我的失誤沒錯啦，但不會那麼嚴重的。+她在闖進網路後，會因為無法通過驗證，被安全程式立即鎖死心智位置。+所以，對方無法訪問任何介面，自然也不會發現你們的，放心好啦！
G11(2);UMP9(2)<Speaker>UMP9</Speaker>||:喂，一點不令人放心吧！+格里芬要是發現少了個人形的心智雲圖，遲早會找到我們頭上的。
UMP45(2)<Speaker>UMP45</Speaker>;UMP9(2)||:……能查到對方是誰嗎？
UMP45(2);NPC-Deele(0)<Speaker>德爾</Speaker>||:資料庫裡沒有符合的身份，應該是名新加入的人形。+不過不重要啦！我會將她踢出網路，只是定位到她需要點時間，你們趁這個時候休息下吧。
UMP45(2)<Speaker>UMP45</Speaker>;NPC-Deele(0)||:…………+我們不如利用這個情況，進入網路找到她。
UMP45(2);NPC-Deele(0)<Speaker>德爾</Speaker>||:誒？你想把這個當做訓練的一部分？
UMP45(2)<Speaker>UMP45</Speaker>;NPC-Deele(0)||:反正都是尋找目標信號，趁這個機會實戰一下沒有壞處。+順便獲得格里芬新款人形的資料，不正好幫你們擴充下資料庫嘛。
UMP45(2);G11(3)<Speaker>G11</Speaker>||:啊……補覺的機會沒有了嗎？
UMP45(2);UMP9(2)<Speaker>UMP9</Speaker>||:45姐，這樣真的好嗎？如果暴露的話……
UMP45(2)<Speaker>UMP45</Speaker>;UMP9(2)||:真正的任務可比暴露危險多了，與其考慮危險不如想想怎麼做好。+有我在這裡，你們只要按命令去做不就好了？
UMP45(2);HK416(0)<Speaker>HK416</Speaker>||:我擔心的就是你，45，我們都很擔心你現在的狀態。
UMP45(2)<Speaker>UMP45</Speaker>;HK416(0)||:放心吧，我比誰都更重視自己，但現在還沒有擔心的必要。
UMP45(2);UMP9(0)<Speaker>UMP9</Speaker>||<黑屏1>:…………+嗯，既然45姐這麼說了，讓我們出發吧！
UMP9(0)<Speaker>UMP9</Speaker><通讯框>||<BIN>72</BIN><黑屏2>:定位信號嘛……看來得先把這位不速之客的心智雲圖資料收集起來。
HK416(0)<Speaker>HK416</Speaker><通讯框>||:具體要怎麼做？
UMP9(0)<Speaker>UMP9</Speaker><通讯框>||:其實很簡單……就和我們剛才使用密鑰的方式一樣，只要靠近把她的資料帶回來就行了。+不過貌似心智雲圖信號被沖散了，看來得把碎片都找回來才行。
G11(0)<Speaker>G11</Speaker><通讯框>||:聽起來就很麻煩……只帶一個回來不行嘛……
UMP9(0)<Speaker>UMP9</Speaker><通讯框>||:雖然也不是不行啦，但是那也太可憐了……+人形要是少了心智雲圖資料，就會變得和人類的智障一樣了
UMP45(0)<Speaker>UMP45</Speaker><通讯框>||<黑点1>:雖然是訓練但也不能掉以輕心，趕緊把所有的雲圖資料都帶回來吧。
